School Location,School Name,School id(s),School Course(s),RPI Equiv id(s),RPI Equiv Courses(s),RPI Equiv Credits(s)
AUSTRALIA,University of New South Wales,ARTS 1090,"MEDIA, CULTURE & EVERYDAY LIFE",ARTS 1000,ARTS ELECTIVE,4.0
AUSTRALIA,University of New South Wales,ARTS 1190,AUSTR. LEGENDS:INTRO AUSTR.STU,ARTS 1000,ARTS ELECTIVE,4.0
AUSTRALIA,University of New South Wales,ARTS 1630,INTRODUCTORY JAPANESE A,ARTS 1000,ARTS ELECTIVE,4.0
AUSTRALIA,University of New South Wales,SART 1311,MAKING PAINTING,ARTS 1000,ARTS ELECTIVE,4.0
Alabama,Auburn University,MDIA 2350,INTRODUCTION TO FILM STUDIES,ARTS 1000,ARTS ELECTIVE,3.0
Alabama,Auburn University,MUSI 2730,APPRECIATION OF MUSIC,ARTS 1000,ARTS ELECTIVE,3.0
Alabama,Birmingham-Southern C.,HON 125,AMERICA'S MUSIC,ARTS 1000,ARTS ELECTIVE,4.0
Alabama,Troy University,DRA 1130,INTRODUCTION TO DRAMA,ARTS 1000,ARTS ELECTIVE,3.0
Alabama,Univ Alabama Tuscaloosa,MUS 121,INTRO TO LISTENING,ARTS 1000,ARTS ELECTIVE,3.0
Alaska,Univ. of Alaska Anchorage,ART A160,ART APPRECIATION,ARTS 1000,ARTS ELECTIVE,3.0
Arizona,Embry-Riddle Aero U,HU 170,INTRO TO FILM: AMERICAN EUROPE,ARTS 1000,ARTS ELECTIVE,3.0
Arizona,University of Arizona,ART 242,INTRO TO PHOTO CONCEPTS,ARTS 1000,ARTS ELECTIVE,3.0
Arizona,University of Arizona,DNC 100,LOOKING AT DANCE,ARTS 1000,ARTS ELECTIVE,3.0
CHINA,Beijing Forestry University,HASS 01,THE JAPANESE FILM & TV ART APP,ARTS 1000,ARTS ELECTIVE,1.0
CHINA,China Agricultural University,HASS 8,APPRECIATION OF MUSIC DRAMA,ARTS 1000,ARTS ELECTIVE,2.0
CHINA,China Univ. Political Sci &Law,ARTS 1,INTRO TO ART,ARTS 1000,ARTS ELECTIVE,2.0
CHINA,China Univ. Political Sci &Law,ARTS 2,PHOTOGRAPHY ART,ARTS 1000,ARTS ELECTIVE,2.0
CHINA,China Univ. Political Sci &Law,ARTS 3,APPRICIATION OF FILM ART,ARTS 1000,ARTS ELECTIVE,2.0
CHINA,China Univ. Political Sci &Law,ARTS 4,APPRECIATION OF ART,ARTS 1000,ARTS ELECTIVE,2.0
CHINA,China Univ. of Petroleum E.C.,ARTS 1,APPRERCIATION WESTERN MUSIC,ARTS 1000,ARTS ELECTIVE,2.0
CHINA,Donghua University,ARTS 1,SKETCH (1),ARTS 1000,ARTS ELECTIVE,2.0
CHINA,East China Univ. of Sci & Tech,ART 01,FILM AND TELEVISION ART APPREC,ARTS 1000,ARTS ELECTIVE,2.0
CHINA,Guangdong University of Tech.,ARTS 1,FINE ARTS 1,ARTS 1000,ARTS ELECTIVE,3.0
CHINA,Guilin Univ. of Technology,ARTS 1,APPRECIATION OF ARTS,ARTS 1000,ARTS ELECTIVE,2.0
CHINA,Jiangsu Univ. of Technology,HASS 2-10,APPRECIATION OF ANIMATION ART,ARTS 1000,ARTS ELECTIVE,1.0
CHINA,Jiangsu Univ. of Technology,HASS 2-9,APPRECIATION OF CHINESE ART,ARTS 1000,ARTS ELECTIVE,1.0
CHINA,Shanghai Univ. of Eng.Science,HUMN 6,APPREC. OF WORLD DOCUMENTARIES,ARTS 1000,ARTS ELECTIVE,2.0
CHINA,Shenyang Normal University,HASS 3,AUDIO AND VIDEO PROCESSING,ARTS 1000,ARTS ELECTIVE,1.0
CHINA,Southeast Univ. of China,HASS 5,APPREC. OF CHINESE FOLK ART,ARTS 1000,ARTS ELECTIVE,2.0
CHINA,Straits Inst. of Minjiang Univ,ART 01,INTRODUCTION TO FILM ART,ARTS 1000,ARTS ELECTIVE,3.0
CHINA,Straits Inst. of Minjiang Univ,MUS 01,MUSIC APPRECIATION,ARTS 1000,ARTS ELECTIVE,3.0
CHINA,Tongji University,ART 1,ART MODELING I,ARTS 1000,ARTS ELECTIVE,4.0
CHINA,Tongji University,ART 5,ART MODELING,ARTS 1000,ARTS ELECTIVE,4.0
CHINA,Univ. of Int'l Business & Econ,ART 110,INTRO WEST ART PREHIS-MEDIEVAL,ARTS 1000,ARTS ELECTIVE,4.0
