School Location,School Name,School id(s),School Course(s),RPI Equiv id(s),RPI Equiv Courses(s),RPI Equiv Credits(s)
Alabama,Univ Alabama Tuscaloosa,"AY 102
AND AY 101","INTRO TO ASTRONOMY LAB
AND INTRO TO ASTRONOMY",ASTR 1000,ASTRONOMY ELECTIVE,4.0
Arizona,Maricopa Comm Coll,AST 101,SURVEY OF ASTRONOMY,ASTR 1000,ASTRONOMY ELECTIVE,3.0
Arizona,University of Arizona,ASTR 196,ASTRONOMICAL PROBLEM SOLVING,ASTR 1000,ASTRONOMY ELECTIVE,1.0
California,American River Coll,ASTR 300,INTRO TO ASTRONOMY,ASTR 1000,ASTRONOMY ELECTIVE,3.0
California,Cabrillo Coll,ASTRO 4,"STARS, GALAXIES & ORIG OF UNIV",ASTR 1000,ASTRONOMY ELECTIVE,3.0
California,Canada Coll,ASTR 100,INTRO TO ASTRONOMY,ASTR 1000,ASTRONOMY ELECTIVE,3.0
California,Colleg of the  Canyons,ASTRON 1000,GENERAL ASTRONOMY,ASTR 1000,ASTRONOMY ELECTIVE,3.0
California,Foothill Coll,ASTR 010A,GENERAL ASTRON - SOLAR SYSTEM,ASTR 1000,ASTRONOMY ELECTIVE,3.0
California,Mission College,AST 003,ASTRONOMY WITH LAB,ASTR 1000,ASTRONOMY ELECTIVE,4.0
California,Mission College,"ASTRO 001
AND ASTRO 002","ASTRONOMY
AND ASTRONOMY LABORATORY",ASTR 1000,ASTRONOMY ELECTIVE,4.0
California,Moorpark College,AST M01,AN INTRODUCTION TO ASTRONOMY,ASTR 1000,ASTRONOMY ELECTIVE,3.0
California,Mount San Antonio C,ASTR 5,INTRO TO ASTRON,ASTR 1000,ASTRONOMY ELECTIVE,3.0
California,Napa Valley College,ASTR 110,DESCRIPTIVE ASTR,ASTR 1000,ASTRONOMY ELECTIVE,3.0
California,San Frncsco State Un,ASTR 115,INTRO TO ASTRONOMY,ASTR 1000,ASTRONOMY ELECTIVE,3.0
California,San Joaquin Delta Cl,ASTRO 001,INTRODUCTORY ASTRONOMY,ASTR 1000,ASTRONOMY ELECTIVE,3.0
California,Thomas Aquinas Coll,"MATH 2 B
AND MATH 2 A","MATH II: ANCIENT & MODERN ASTR
AND MATH II: ANCIENT & MODERN ASTR",ASTR 1000,ASTRONOMY ELECTIVE,3.0
California,Univ Calif Berkeley,ASTRON 10,GENERAL ASTRONOMY,ASTR 1000,ASTRONOMY ELECTIVE,4.0
Colorado,Colorado College,PC 133,ASTRONOMY,ASTR 1000,ASTRONOMY ELECTIVE,4.0
Colorado,Univ Nthrn Colorado,AST 302,MODERN ASTRONOMY,ASTR 1000,ASTRONOMY ELECTIVE,3.0
Connecticut,Trinity College Ct,FYSM 101,NHATURE OF THE UNIVERSE,ASTR 1000,ASTRONOMY ELECTIVE,3.0
Connecticut,Tunxis Community College,AST J111,INTRODUCTION TO ASTRONOMY,ASTR 1000,ASTRONOMY ELECTIVE,4.0
Florida,Florida International Univ.,"AST 2003
AND AST 2003L","SOLAR SYS ASTRONOMY
AND SOLAR SYS ASTRONOMY LAB",ASTR 1000,ASTRONOMY ELECTIVE,4.0
Florida,Miami-Dade Cc North,AST 1002,ASTRONOMY 1,ASTR 1000,ASTRONOMY ELECTIVE,3.0
Hawaii,Maui Community Coll,ASTR 110,SURVEY ASTRONOMY,ASTR 1000,ASTRONOMY ELECTIVE,3.0
Hawaii,Univ Hawaii At Manoa,ASTR 110,SURVEY OF ASTRONOMY,ASTR 1000,ASTRONOMY ELECTIVE,3.0
Illinois,Southern Illinois U,PHYS 103,ASTRONOMY,ASTR 1000,ASTRONOMY ELECTIVE,3.0
Illinois,Univ Illinois Urbana,ASTR 122,STARS AND GALAXIES,ASTR 1000,ASTRONOMY ELECTIVE,4.0
Kentucky,Western Kentucky Uni,ASTR 214,GENERAL ASTRONOMY,ASTR 1000,ASTRONOMY ELECTIVE,4.0
Maine,Colby College,AS 151,STARS & STELLAR SYSTEMS,ASTR 1000,ASTRONOMY ELECTIVE,3.0
Maine,University Maine,AST 109,INTRODUCTION TO ASTRONOMY,ASTR 1000,ASTRONOMY ELECTIVE,3.0
Maryland,Howard Cmty College,ASTR 104,ELEMENTARY ASTRONOMY,ASTR 1000,ASTRONOMY ELECTIVE,3.0
Maryland,U. of  Maryland College Park,ASTR 100,INTRO TO ASTRONOMY,ASTR 1000,ASTRONOMY ELECTIVE,3.0
Massachusetts,Boston University,AS 102,THE ASTRON UNIV,ASTR 1000,ASTRONOMY ELECTIVE,4.0
Massachusetts,Bristol Communty Col,AST 112,"STARS, GALAXIES, AND UNIVERSE",ASTR 1000,ASTRONOMY ELECTIVE,4.0
Massachusetts,Greenfield Cmty Coll,SCI 103,ASTRONOMY,ASTR 1000,ASTRONOMY ELECTIVE,4.0
Massachusetts,Northeastern University,GEO 1154,PLAN ASTRONOMY,ASTR 1000,ASTRONOMY ELECTIVE,4.0
Massachusetts,Univ Mass at Amherst,ASTRON 100,EXPLORING THE UNIVERSE,ASTR 1000,ASTRONOMY ELECTIVE,4.0
Minnesota,Anoka-Ramsey C C,NATS 1001,ASTRONOMY,ASTR 1000,ASTRONOMY ELECTIVE,3.0
Minnesota,Univ Minnesota Mpls,ASR 1001,EXPLORE UNIVERSE,ASTR 1000,ASTRONOMY ELECTIVE,4.0
New Jersey,County Coll Morris,SCI 106,INTRO TO ASTRONOMY,ASTR 1000,ASTRONOMY ELECTIVE,3.0
New Jersey,Ramapo College of New Jersey,PHYS 103,INTRODUCTION TO ASTRONOMY,ASTR 1000,ASTRONOMY ELECTIVE,4.0
New Jersey,Rowan University,ASTR 11120,INTRO TO ASTRONOMY,ASTR 1000,ASTRONOMY ELECTIVE,4.0
New Mexico,Univ Of New Mexico,ASTR 101,INTRO TO ASTRONOMY,ASTR 1000,ASTRONOMY ELECTIVE,3.0
New York,Adirondack Cmty Coll,AST 113,INTRO TO ASTRONOMY,ASTR 1000,ASTRONOMY ELECTIVE,4.0
New York,Alfred University,ASTR 107,ELEM ASTRONOMY LAB,ASTR 1000,ASTRONOMY ELECTIVE,3.0
New York,Bard College,SCI 161,ASTRONOMY,ASTR 1000,ASTRONOMY ELECTIVE,4.0
New York,Borough Manhattn C C,AST 110,GENERAL ASTRONOMY,ASTR 1000,ASTRONOMY ELECTIVE,4.0
New York,Bronx Cmty Coll,AST 11,STELLAR ASTRONOMY,ASTR 1000,ASTRONOMY ELECTIVE,4.0
New York,Cornell University,ASTRO 1106,RELATIVITY & COSMOLOGY,ASTR 1000,ASTRONOMY ELECTIVE,3.0
New York,Fordham University,PHYS 1201,INTRO ASTRONOMY,ASTR 1000,ASTRONOMY ELECTIVE,3.0
New York,Hamilton College,PHYS 160,ASTRONOMY,ASTR 1000,ASTRONOMY ELECTIVE,4.0
New York,Hofstra University,ASTR 011,THE SOLAR SYSTEM,ASTR 1000,ASTRONOMY ELECTIVE,3.0
New York,Hunter College,ASTRO 10000,BASIC CONC OF ASTRO,ASTR 1000,ASTRONOMY ELECTIVE,3.0
New York,Ithaca College,ASTR 17500,"STARTS, GALAXIES & THE UNIVERS",ASTR 1000,ASTRONOMY ELECTIVE,3.0
New York,Mohawk Valley C C,PH 141,ASTRONOMY: THE SOLAR SYSTEM,ASTR 1000,ASTRONOMY ELECTIVE,4.0
New York,Monroe Cmty College,GEO 105,ASTRONOMY,ASTR 1000,ASTRONOMY ELECTIVE,3.0
New York,New York City Tech C,PHYS 1117,ASTRONOMY I,ASTR 1000,ASTRONOMY ELECTIVE,4.0
New York,Onondaga Cmty Coll,"SCI 103
AND SCI 103L","INTRO ASTRONOMY
AND INTRO ASTRONOMY LAB",ASTR 1000,ASTRONOMY ELECTIVE,4.0
New York,Orange Co Cmty Coll,37 120,ASTRONOMY,ASTR 1000,ASTRONOMY ELECTIVE,3.0
New York,Orange Co Cmty Coll,AST 120,ASTRONOMY,ASTR 1000,ASTRONOMY ELECTIVE,3.0
New York,Queens College,ASTR 1,GENERAL ASTRONOMY,ASTR 1000,ASTRONOMY ELECTIVE,3.0
New York,Rockland Cmty Coll,SCI 110,INTRO TO ASTRONOMY,ASTR 1000,ASTRONOMY ELECTIVE,3.0
