School Location,School Name,School id(s),School Course(s),RPI Equiv id(s),RPI Equiv Courses(s),RPI Equiv Credits(s)
AUSTRALIA,University of New South Wales,BIOS 2061,VERTEBRATE ZOOLOGY,BIOL 1000,BIOLOGY ELECTIVE,4.0
AUSTRALIA,University of New South Wales,GENM 0703,"CONC. PHYS ACTIV, EXER, HEALTH",BIOL 1000,BIOLOGY ELECTIVE,4.0
Alabama,Univ. of North Alabama,BI 135,CELL BIOLOGY,BIOL 1000,BIOLOGY ELECTIVE,3.0
Alaska,Univ. of Alaska Anchorage,BIOL A102,INTRODUCTORY BIOLOGY,BIOL 1000,BIOLOGY ELECTIVE,3.0
Arizona,Pima Community Coll,BIO 201,HUMAN ANATOMY & PHY I,BIOL 1000,BIOLOGY ELECTIVE,4.0
CANADA,McGill University,BIOL 111,PRINCIPLES: ORGANISMAL BIOLOGY,BIOL 1000,BIOLOGY ELECTIVE,3.0
CANADA,McGill University,BIOL 112,CELL AND MOLECULAR BIOLOGY,BIOL 1000,BIOLOGY ELECTIVE,3.0
CANADA,McGill University,BIOL 111,PRINCIPLES: ORGANISMAL BIOLOGY,BIOL 1000,BIOLOGY ELECTIVE,3.0
CANADA,McGill University,BIOL 112,CELL AND MOLECULAR BIOLOGY,BIOL 1000,BIOLOGY ELECTIVE,3.0
CANADA,University of Alberta,PEDS 100,STRUCTURAL ANATOMY,BIOL 1000,BIOLOGY ELECTIVE,3.0
CANADA,University of Alberta,PEDS 100,STRUCTURAL ANATOMY,BIOL 1000,BIOLOGY ELECTIVE,3.0
CHINA,Central China Normal Univ.,"BIOL 12
AND BIOL 13","ZOONOMY
AND ZOONOMY EXPERIMENT",BIOL 1000,BIOLOGY ELECTIVE,2.0
CHINA,Central China Normal Univ.,"BIOL 15
AND BIOL 16","ZOOLOGY
AND ZOOLOGY EXPERIMENT",BIOL 1000,BIOLOGY ELECTIVE,4.0
CHINA,Central China Normal Univ.,"BIOL 6
AND BIOL 7","BIOCHEMISTRY
AND BIOCHEMISTRY EXPERIMENT",BIOL 1000,BIOLOGY ELECTIVE,4.0
CHINA,Central China Normal Univ.,"BIOL 8
AND BIOL 9","CYTOBIOLOGY
AND CYTOBIOLOGY EXPERIMENT",BIOL 1000,BIOLOGY ELECTIVE,4.0
CHINA,China Agricultural University,CAU 02110130,ANIMAL BIOCHEMISTRY EXPERIMENT,BIOL 1000,BIOLOGY ELECTIVE,1.0
CHINA,China Agricultural University,"CAU 04110021
AND CAU 04110020","ANIMAL GENETICS IN THE LAB
AND ANIMAL GENETICS",BIOL 1000,BIOLOGY ELECTIVE,3.0
CHINA,China Pharmaceutical Univ.,BIOL 1,BIOCHEM. BASIS HUMAN NUTRITION,BIOL 1000,BIOLOGY ELECTIVE,2.0
CHINA,Northeast Forestry Univ.,BIOL 3,MICROBIOLOGY,BIOL 1000,BIOLOGY ELECTIVE,2.0
CHINA,Northeast Forestry Univ.,SCI 1,ZOOLOGY,BIOL 1000,BIOLOGY ELECTIVE,4.0
CHINA,Northeast Forestry Univ.,SCI 10,ANIMAL CELL BIOLOGY,BIOL 1000,BIOLOGY ELECTIVE,2.0
CHINA,Northeast Forestry Univ.,SCI 9,ANIMAL ECOLOGY,BIOL 1000,BIOLOGY ELECTIVE,3.0
CHINA,Shanghai Ocean University,BIOL 1,ANATOMY AND PHYSIOLOGY,BIOL 1000,BIOLOGY ELECTIVE,2.0
CHINA,Southeast Univ. of China,BIOL 1,MODERN BIOLOGY,BIOL 1000,BIOLOGY ELECTIVE,3.0
CHINA,Southwest Jiaotong University,BIOL 1,INTRO TO LIFE SCIENCE,BIOL 1000,BIOLOGY ELECTIVE,2.0
California,Calif Institute Tech,BI 001,BIOLOGY & BIOPHYSICS OF VIRUS,BIOL 1000,BIOLOGY ELECTIVE,3.0
California,Calif St Univ Dom Hl,"BIO 123
AND BIO 120
AND BIO 121
AND BIO 122","PRINCIPLES OF BIOLOGY II LAB
AND PRINCIPLES OF BIOLOGY I
AND PRINCIPLES OF BIOLOGY LAB I
AND PRINCIPLES OF BIOLOGY II","BIOL 1000
AND BIOL 1015
AND BIOL 1010","BIOLOGY ELECTIVE
AND INTRODUCTION TO BIOLOGY LAB
AND INTRODUCTION TO BIOLOGY","4.0
AND 1.0
AND 3.0"
California,Cerritos College,BIOL 120,INTRO TO BIOLOGICAL SCIENCE,BIOL 1000,BIOLOGY ELECTIVE,4.0
California,City Coll San Frnsco,NUTR 12,INTRODUCTION TO NUTRITION,BIOL 1000,BIOLOGY ELECTIVE,3.0
California,De Anza College,BIOL 010,INTRODUCTORY BIOLOGY,BIOL 1000,BIOLOGY ELECTIVE,4.0
California,De Anza College,BIOL 011,HUMAN BIOLOGY,BIOL 1000,BIOLOGY ELECTIVE,4.0
California,Foothill Coll,BIOL F001A,PRIN OF CELL BIOLOGY,BIOL 1000,BIOLOGY ELECTIVE,4.0
California,Los Angeles City Col,BIOLOGY 007,GENERAL BIOLOGY II,BIOL 1000,BIOLOGY ELECTIVE,4.0
California,Los Angeles Valley College,BIOLOGY 007,GENERAL BIOLOGY II,BIOL 1000,BIOLOGY ELECTIVE,4.0
California,Loyola Marymount University,BIOL 114,BIOLOGY FOR ENGINEERS,BIOL 1000,BIOLOGY ELECTIVE,3.0
California,Marymount College Ca,SCI 132,HUMAN ANATOMY,BIOL 1000,BIOLOGY ELECTIVE,4.0
California,Marymount College Ca,SCI 140,PLANTS AND CIVILIZATION,BIOL 1000,BIOLOGY ELECTIVE,4.0
California,Marymount College Ca,SCI 241,GENERAL BIOLOGY II,BIOL 1000,BIOLOGY ELECTIVE,4.0
California,Mira Costa College,BIO 103,ANIMAL DIVERSITY,BIOL 1000,BIOLOGY ELECTIVE,3.0
California,Mission College,BIOSC 015,HUM HEREDITY & DIS,BIOL 1000,BIOLOGY ELECTIVE,3.0
California,Moorpark College,BIOL M01,INTRODUCTION TO BIOLOGY,BIOL 1000,BIOLOGY ELECTIVE,4.0
California,Patten College,BIO 153,ANAT. & PHYSIOLOGY W/LAB,BIOL 1000,BIOLOGY ELECTIVE,4.0
California,Rio Hondo College,BIOL 120,ENVIRONMENTAL BIOLOGY,BIOL 1000,BIOLOGY ELECTIVE,3.0
California,Riverside Cmty Coll,BIO 12,INTRO ORGANISMAL POP BIOLOGY,BIOL 1000,BIOLOGY ELECTIVE,4.0
California,San Diego City Coll,BIOL 230,HUMAN ANATOMY,BIOL 1000,BIOLOGY ELECTIVE,4.0
California,San Frncsco State Un,"BIOL 101
AND BIOL 100","HUMAN BIOLOGY LAB
AND HUMAN BIOLOGY",BIOL 1000,BIOLOGY ELECTIVE,4.0
California,Univ Calif Davis,AN BIOL 050B,ANIMAL BIOLOGY,BIOL 1000,BIOLOGY ELECTIVE,3.0
Colorado,Colorado Sch Mines,CBEN 110,FUNDAMENTALS OF BIOLOGY I,BIOL 1000,BIOLOGY ELECTIVE,4.0
Colorado,Colorado State University,PNCC 150,SURVEY OF HUMAN NUTRITION,BIOL 1000,BIOLOGY ELECTIVE,3.0
Connecticut,Fairfield University,BI 0170,GENERAL BIOLOGY I,BIOL 1000,BIOLOGY ELECTIVE,4.0
Connecticut,Gateway Cmty-Tech Cl,BIO I122,GENERAL BIOLOGY II,BIOL 1000,BIOLOGY ELECTIVE,4.0
Connecticut,Norwalk Community College,BIO 105,INTRODUCTION TO BIOLOGY,BIOL 1000,BIOLOGY ELECTIVE,4.0
Connecticut,Quinnipiac University,"BIO 102L
AND BIO 102","GENERAL BIO II LAB
AND GENERAL BIOLOGY II",BIOL 1000,BIOLOGY ELECTIVE,4.0
Connecticut,Sacred Heart Univ,"BI 112
AND BI 114","CONCEPTS IN BIOLOGY II
AND CONCEPTS IN BIOLOGY II LAB",BIOL 1000,BIOLOGY ELECTIVE,4.0
Connecticut,Trinity College Ct,BIOL 153,CELLS METABLSM & HEREDITY,BIOL 1000,BIOLOGY ELECTIVE,4.0
Connecticut,Univ Of New Haven,BI 301,MICROBIOLOGY WITH LAB,BIOL 1000,BIOLOGY ELECTIVE,4.0
Connecticut,Univ Of New Haven,MR 101,INTRO TO MARINE BIOLOGY,BIOL 1000,BIOLOGY ELECTIVE,1.0
Delaware,University of Delaware,BISC 208,INTRODUCTORY BIOLOGY II,BIOL 1000,BIOLOGY ELECTIVE,4.0
Delaware,Wesley College,BI 110,BASIC HUMAN ANATOMY,BIOL 1000,BIOLOGY ELECTIVE,4.0
District of Columbia,The American Univers,BIO 120,STRUCT/FUNCTION OF HUMAN BODY,BIOL 1000,BIOLOGY ELECTIVE,4.0
Florida,Florida Atlantic Unv,"BSC 1005L
AND BSC 1005","LIFE SCIENCE LAB
AND LIFE SCIENCE",BIOL 1000,BIOLOGY ELECTIVE,3.0
Florida,Florida State College,BSC 2010,PRINCIPLES OF BIOLOGY,BIOL 1000,BIOLOGY ELECTIVE,4.0
Florida,Florida State College,BSC 2420C,BIOTECH METHODS,BIOL 1000,BIOLOGY ELECTIVE,4.0
Florida,Florida State Univ,BSC 1005,GENERAL BIOLOGY - NON MAJORS,BIOL 1000,BIOLOGY ELECTIVE,3.0
Florida,Hillsborough C C,"BSC 1010L
AND BSC 1010","BIO SCIENCE I LAB
AND BIO SCIENCE I",BIOL 1000,BIOLOGY ELECTIVE,4.0
Florida,Hillsborough C C,"BSC 1011L
AND BSC 1011","BIO SCIENCE II LAB
AND BIO SCIENCE II",BIOL 1000,BIOLOGY ELECTIVE,4.0
Florida,Keiser College,BSC 1005,GENERAL BIOLOGY,BIOL 1000,BIOLOGY ELECTIVE,3.0
Florida,Miami-Dade Cc North,BSC 2420,BIOTECHNOLOGY I,BIOL 1000,BIOLOGY ELECTIVE,4.0
Florida,Santa Fe Cmty Coll,BSC 1001,INTRO BIOLOGY,BIOL 1000,BIOLOGY ELECTIVE,3.0
Florida,Univ Central Florida,MCB 1310,INTRO TO BIOTECH & GENETIC ENG,BIOL 1000,BIOLOGY ELECTIVE,3.0
Florida,Univ Central Florida,PCB 4251,TISSUE ENGINEERING,BIOL 1000,BIOLOGY ELECTIVE,3.0
Florida,Univ Central Florida,PCB 4524H,HONORS MOLECULAR BIOLOGY II,BIOL 1000,BIOLOGY ELECTIVE,3.0
Florida,Univ North Florida,BSC 1011C,GENERAL BIOLOGY II,BIOL 1000,BIOLOGY ELECTIVE,4.0
Florida,Valencia College,BSC 1010,FUNDAMENTALS OF BIOLOGY I,BIOL 1000,BIOLOGY ELECTIVE,4.0
Florida,Valencia College,BSC 1011,FUNDAMENTALS OF BIOLOGY II,BIOL 1000,BIOLOGY ELECTIVE,4.0
Georgia,Georgia St Univ,BIOL 2240,INTRO TO HUMAN PHYSIOLOGY,BIOL 1000,BIOLOGY ELECTIVE,3.0
Georgia,Georgia St Univ,"BIOL 3840
AND BIOL 3850","ANIMAL BIOLOGY
AND ANIMAL BIOLOGY LAB",BIOL 1000,BIOLOGY ELECTIVE,4.0
Georgia,Georgia St Univ,BIOL 3880,MICROBIOLOGY,BIOL 1000,BIOLOGY ELECTIVE,3.0
Georgia,University of North Georgia,"BIOL 1108K
AND BIOL 1107K","PRINCIPLES OF BIOLOGY II
AND PRINCIPLES OF BIOLOGY I","BIOL 1000
AND BIOL 1015
AND BIOL 1010","BIOLOGY ELECTIVE
AND INTRODUCTION TO BIOLOGY LAB
AND INTRODUCTION TO BIOLOGY","4.0
AND 1.0
AND 3.0"
Georgia,University of West Georgia,"BIOL 1108
AND BIOL 1108L","PRINCIPLES OF BIOLOGY II
AND PRINCIPLES OF BIOLOGY II LAB",BIOL 1000,BIOLOGY ELECTIVE,4.0
Hawaii,Univ Hawaii At Manoa,"BIOL 101
AND BIOL 101L","BIOLOGY & SOCIETY
AND BIOLOGY & SOCIETY LAB",BIOL 1000,BIOLOGY ELECTIVE,4.0
Idaho,Boise State University,BIOL 203,GENERAL BOTANY,BIOL 1000,BIOLOGY ELECTIVE,4.0
Illinois,City Colleges of Chicago,BIOLOGY 121,BIOLOGY I,BIOL 1000,BIOLOGY ELECTIVE,4.0
Illinois,John A Logan College,BIO 100,BIO/NON-SCI MAJOR,BIOL 1000,BIOLOGY ELECTIVE,3.0
Illinois,Univ Of Chicago,BIOS 10110,BIOLOGICAL ISSUES & PARADIGMS,BIOL 1000,BIOLOGY ELECTIVE,3.0
Illinois,Univ Of Chicago,BIOS 102,PRINC OF GENETICS,BIOL 1000,BIOLOGY ELECTIVE,4.0
Illinois,Univ Of Chicago,BIOS 11120,BEHAVIOR GENETICS,BIOL 1000,BIOLOGY ELECTIVE,3.0
Illinois,Univ Of Chicago,BIOS 152,GLOBAL ECOLOGY,BIOL 1000,BIOLOGY ELECTIVE,4.0
