School Location,School Name,School id(s),School Course(s),RPI Equiv id(s),RPI Equiv Courses(s),RPI Equiv Credits(s)
Arizona,Embry-Riddle Aero U,CHM 113,GEN CHEM FOR ENGINEERING,CHEM 1000,CHEMISTRY ELECTIVE,3.0
BANGLADESH,American Int'l Univ.Bangledesh,CHEM 1201,CHEMISTRY 1,CHEM 1000,CHEMISTRY ELECTIVE,4.0
CANADA,Fairleigh Dickinson University,CHEM 1075,CHEMISTRY AND SOCIETY,CHEM 1000,CHEMISTRY ELECTIVE,2.0
CANADA,Fairleigh Dickinson University,CHEM 1075,CHEMISTRY AND SOCIETY,CHEM 1000,CHEMISTRY ELECTIVE,2.0
CANADA,University of Toronto,APS 104H1,INTRO TO MATLS & CHEMISTRY,CHEM 1000,CHEMISTRY ELECTIVE,3.0
CANADA,University of Toronto,APS 104H1,INTRO TO MATLS & CHEMISTRY,CHEM 1000,CHEMISTRY ELECTIVE,3.0
CHINA,China Pharmaceutical Univ.,"CHEM 2
AND CHEM 1","ELEMENTARY CHEMISTRY II
AND ELEMENTARY CHEMISTRY I",CHEM 1000,CHEMISTRY ELECTIVE,4.0
CHINA,Donghua University,100 251B,ANALYTICAL CHEMISTRY EXP I,CHEM 1000,CHEMISTRY ELECTIVE,1.0
CHINA,Donghua University,CHEM 2,ENGINEERING CHEMISTRY,CHEM 1000,CHEMISTRY ELECTIVE,2.0
CHINA,Shanghai Ocean University,"CHEM 2
AND CHEM 5","INSTRUMENTAL CHEMISTRY
AND EXPER INSTRUMENT CHEMISTRY",CHEM 1000,CHEMISTRY ELECTIVE,3.0
CHINA,Univ. Elec Sci & Tech of China,CHEM 1,COLLEGE CHEMISTRY,CHEM 1000,CHEMISTRY ELECTIVE,2.0
CHINA,Zhejiang Gongshang Univ.,"CHEM 5
AND CHEM 8","BIOCHEMISTRY
AND EXPERIMENTAL BIOCHEMISTRY",CHEM 1000,CHEMISTRY ELECTIVE,3.0
CHINA,Zhejiang Gongshang Univ.,"CHEM 7
AND CHEM 6","PHYSICAL CHEMISTRY
AND EXPER. PHYSICAL CHEMISTRY",CHEM 1000,CHEMISTRY ELECTIVE,4.0
COLOMBIA,Univ. De Los Andes,UOA 5,CHEMISTRY,CHEM 1000,CHEMISTRY ELECTIVE,1.0
California,Harvey Mudd College,"CHEM 023D
AND CHEM 024","DYNAMICS
AND CHEMISTRY LABORATORY",CHEM 1000,CHEMISTRY ELECTIVE,3.0
California,Patten College,CHM 111,GENERAL CHEMISTRY I,CHEM 1000,CHEMISTRY ELECTIVE,3.0
California,Santa Barbara City C,CHEM 101,INTRODUCTORY CHEMISTRY,CHEM 1000,CHEMISTRY ELECTIVE,4.0
California,Univ Calif San Diego,"CHEM 6B
AND CHEM 6A","GENERAL CHEMISTRY II
AND GENERAL CHEMISTRY I","CHEM 1000
AND CHEM 1100","CHEMISTRY ELECTIVE
AND CHEMISTRY I","2.0
AND 4.0"
Colorado,Ft Lewis College,CHEM 150,FUND OF CHEM I ATOMS/MOLEC,CHEM 1000,CHEMISTRY ELECTIVE,4.0
Colorado,US Air Force Academy,CHEM 222,ANALYTICAL CHEMISTRY,CHEM 1000,CHEMISTRY ELECTIVE,4.0
Connecticut,Middlesex Cmty-Tech,CHE F111,CONCEPTS OF CHEMISTRY,CHEM 1000,CHEMISTRY ELECTIVE,4.0
Connecticut,Westrn Conn St Univ,CHE 260,CONCEPTS OF PHYSICAL CHEM,CHEM 1000,CHEMISTRY ELECTIVE,2.0
Florida,Embry-Riddle Aero Un,PS 195C,ELEMENTS OF ENGR CHEMIST,CHEM 1000,CHEMISTRY ELECTIVE,3.0
Florida,Miami-Dade Cc North,CHM 2132,BASIC CHEM INSTRUMN,CHEM 1000,CHEMISTRY ELECTIVE,3.0
Florida,Valencia College,CHM 1025,INTRO TO GENERAL CHEMISTRY,CHEM 1000,CHEMISTRY ELECTIVE,4.0
Illinois,Illinois Inst of Technology,CHEM 122,PRINCIPLES OF CHEM I W/OUT LAB,CHEM 1000,CHEMISTRY ELECTIVE,3.0
Illinois,Illinois Inst of Technology,CHEM 126,PRINCIPLES OF CHEMISTRY II,CHEM 1000,CHEMISTRY ELECTIVE,3.0
Indiana,Univ Of Notre Dame,CHEM 10122,GEN CHEM: PRINC & PROCESSES,CHEM 1000,CHEMISTRY ELECTIVE,3.0
KAZAKHSTAN,Almaty Inst of Power Engr&Tech,CHEM 1,OPTIONAL DISCIPLINE CHEMISTRY,CHEM 1000,CHEMISTRY ELECTIVE,1.0
Maine,University Maine,"CHY 131
AND CHY 133","CHEMISTRY FOR CIE, ELE, MEE
AND CHEM FOR CIE, ELE & MEE LAB",CHEM 1000,CHEMISTRY ELECTIVE,4.0
Maryland,U. of  Maryland College Park,CHEM 135,GENERAL CHEMISTRY FOR ENGRS,CHEM 1000,CHEMISTRY ELECTIVE,3.0
Massachusetts,Bentley University,NASC 122,ENVIRONMENTAL CHEMISTRY,CHEM 1000,CHEMISTRY ELECTIVE,4.0
Massachusetts,Mt Holyoke College,"CHEM 201
AND CHEM 160","GENERAL CHEMISTRY II
AND INTEGRATD INTRO BIOLOGY & CHE","CHEM 1000
AND CHEM 1100","CHEMISTRY ELECTIVE
AND CHEMISTRY I","4.0
AND 4.0"
Massachusetts,Worcester Polytechnic,CH 1030,EQUILIBRIUM,CHEM 1000,CHEMISTRY ELECTIVE,3.0
Massachusetts,Worcester Polytechnic,CH 1040,DYNAMICS,CHEM 1000,CHEMISTRY ELECTIVE,3.0
Minnesota,College of Saint Benedict,CHEM 201,PURIFICATION/SEPARAT LAB,CHEM 1000,CHEMISTRY ELECTIVE,1.0
New Jersey,Bergen Cmty Coll,CHM 140,GENERAL CHEMISTRY I,CHEM 1000,CHEMISTRY ELECTIVE,3.0
New York,Dutchess Cmty Coll,CHE 116,INDUSTRIAL ORG CHEMISTRY,CHEM 1000,CHEMISTRY ELECTIVE,4.0
New York,Dutchess Cmty Coll,CHE 119,ENVIRON CHEMISTRY LAB,CHEM 1000,CHEMISTRY ELECTIVE,2.0
New York,Fordham University,CHEM 1321,GENERAL CHEMISTRY I,CHEM 1000,CHEMISTRY ELECTIVE,4.0
New York,Hamilton College,CHEM 125,PRINC CHEM THEORY & APPL,CHEM 1000,CHEMISTRY ELECTIVE,4.0
New York,Hudson Vly Cmty Coll,CHEM 115,PHYSIOLOGICAL CHEMISTRY,CHEM 1000,CHEMISTRY ELECTIVE,4.0
New York,Hudson Vly Cmty Coll,CHEM 200,BIOCHEMISTRY,CHEM 1000,CHEMISTRY ELECTIVE,3.0
New York,Hudson Vly Cmty Coll,CHEM 205,ANALYTICAL CHEMISTRY,CHEM 1000,CHEMISTRY ELECTIVE,4.0
New York,Hudson Vly Cmty Coll,CHEM 215,PRINCIPLES OF PHYSICAL CHEM,CHEM 1000,CHEMISTRY ELECTIVE,4.0
New York,Ithaca College,"CHEM 11400
AND CHEM 11200","CHEMISTRY LABORATORY
AND ORGANIC CHEM & BIOCHEM",CHEM 1000,CHEMISTRY ELECTIVE,4.0
New York,New York City Tech C,CHEM 1000,PRIN OF CHEMISTRY I,CHEM 1000,CHEMISTRY ELECTIVE,4.0
New York,Pace Univ NYC,CHE 101,INTRO TO CHEMISTRY I,CHEM 1000,CHEMISTRY ELECTIVE,3.0
New York,Roberts Wesleyan Col,CHM 121,ANALYTICAL CHEMISTRY,CHEM 1000,CHEMISTRY ELECTIVE,4.0
New York,Rochester Inst of Technology,CHMG 131,GEN CHEM FOR ENGRS,CHEM 1000,CHEMISTRY ELECTIVE,3.0
New York,SUNY Albany,CHM 120,GENERAL CHEMISTRY I - LEC,CHEM 1000,CHEMISTRY ELECTIVE,3.0
New York,SUNY Albany,CHM 121,GENERAL CHEMISTRY II,CHEM 1000,CHEMISTRY ELECTIVE,3.0
New York,SUNY Albany,CHN 121,GENERAL CHEMISTRY II,CHEM 1000,CHEMISTRY ELECTIVE,3.0
New York,SUNY at Stony Brook,"CHE 154
AND CHE 152","MOLECULAR SCIENCE LABORATORY
AND MOLECULAR SCIENCE I","CHEM 1000
AND CHEM 1000","CHEMISTRY ELECTIVE
AND CHEMISTRY ELECTIVE","2.0
AND 4.0"
New York,SUNY at Stony Brook,"CHE 154
AND CHE 152","MOLECULAR SCIENCE LABORATORY
AND MOLECULAR SCIENCE I","CHEM 1000
AND CHEM 1000","CHEMISTRY ELECTIVE
AND CHEMISTRY ELECTIVE","2.0
AND 4.0"
New York,St Johns Univ Jamca,CHE 1110,INTRO TO GEN & ORG CHEMISTRY,CHEM 1000,CHEMISTRY ELECTIVE,3.0
New York,St Johns Univ Jamca,CHE 1120,INTRO GEN & ORGANIC CHEM II,CHEM 1000,CHEMISTRY ELECTIVE,3.0
New York,St Johns Univ Jamca,CHE 1130,INTRO TO GEN & ORG CHEM III,CHEM 1000,CHEMISTRY ELECTIVE,3.0
New York,Suffolk Co Cc Ammrmn,CHE 122,FOUNDATIONS OF COLLEGE CHEMIST,CHEM 1000,CHEMISTRY ELECTIVE,4.0
New York,Sullivan Co Cmty Col,SCI 1824,FUNDAMENTALS OF CHEMISTRY,CHEM 1000,CHEMISTRY ELECTIVE,4.0
New York,Syracuse University,CHE 450,INTRO TO CHEMICAL RESEARCH,CHEM 1000,CHEMISTRY ELECTIVE,1.0
New York,Utica Col Syracuse U,CHE 213,INTRO TO CHEM RESEARCH METHODS,CHEM 1000,CHEMISTRY ELECTIVE,3.0
New York,Westchester Cmty Col,CHEM 131,INTRO-FORENSIC SCIENCE,CHEM 1000,CHEMISTRY ELECTIVE,3.0
Ohio,Kenyon College,CHEM 108,SOLAR ENERGY,CHEM 1000,CHEMISTRY ELECTIVE,4.0
Oklahoma,Oklahoma St Univ,CHEM 1414,GEN CHEM FOR ENGINEERS,CHEM 1000,CHEMISTRY ELECTIVE,4.0
Oregon,Rogue Cmty College,"CHEM 223R
AND CHEM 223
AND CHEM 223L","GENERAL CHEMISTRY III RECITATI
AND GENERAL CHEMISTRY III
AND GENERAL CHEMISTRY III LAB",CHEM 1000,CHEMISTRY ELECTIVE,4.0
Pennsylvania,Gettysburg College,CHEM 107,CHEMICAL STRUCTURE & BONDING,CHEM 1000,CHEMISTRY ELECTIVE,4.0
Pennsylvania,Lehigh University,CHM 031,CHM EQUIL IN AQUEOUS SYS,CHEM 1000,CHEMISTRY ELECTIVE,4.0
Pennsylvania,Villanova University,CHM 1156,GENERAL CHEMISTRY II FOR ENGR,CHEM 1000,CHEMISTRY ELECTIVE,4.0
RUSSIAN FEDERATION,UFA State Petroleum Tech. Univ,USPTU 17,CHEMISTRY OF OIL AND GAS,CHEM 1000,CHEMISTRY ELECTIVE,4.0
Rhode Island,Cmty Coll Rhode Is,CHEM 1000,CHEMISTRY OF OUR ENVIRONMENT,CHEM 1000,CHEMISTRY ELECTIVE,4.0
Rhode Island,Cmty Coll Rhode Is,CHEM 1010,SURVEY OF BIOMEDICAL CHEMISTRY,CHEM 1000,CHEMISTRY ELECTIVE,4.0
Rhode Island,University of Rhode Island,CHM 101,GENERAL CHEM I LECTURE,CHEM 1000,CHEMISTRY ELECTIVE,3.0
Rhode Island,University of Rhode Island,CHM 103,INTRODUCTORY CHEMISTRY LECTURE,CHEM 1000,CHEMISTRY ELECTIVE,3.0
