School Location,School Name,School id(s),School Course(s),RPI Equiv id(s),RPI Equiv Courses(s),RPI Equiv Credits(s)
BRAZIL,Universidade de Fortaleza,T 537,METALLIC STRUCTURES,CIVL 4000,CIVIL ENGINEERING ELECTIVE,4.0
DENMARK,Technical Univ. of Denmark,11050 11050,SUPER-LIGHT STRUCTURES,CIVL 4000,CIVIL ENGINEERING ELECTIVE,3.0
DENMARK,Technical Univ. of Denmark,41812 41812,FEM-LIGHT,"CIVL 4000
AND CIVL 4240","CIVIL ENGINEERING ELECTIVE
AND INTRO TO FINITE ELEMENTS","2.0
AND 3.0"
Massachusetts,Springfield Tech C C,CIVL 310,SURVEYING I,CIVL 4000,CIVIL ENGINEERING ELECTIVE,4.0
New York,Rochester Inst of Technology,CVET 300,LAND DVLPMT COMP APPS,CIVL 4000,CIVIL ENGINEERING ELECTIVE,2.0
New York,Rochester Inst of Technology,CVET 505,SUSTAIN BLDG DESIGN & CONTR,CIVL 4000,CIVIL ENGINEERING ELECTIVE,3.0
UNITED KINGDOM,University College London,CEGE 3013A,CIVIL ENGINEERING PROJECT A,CIVL 4000,CIVIL ENGINEERING ELECTIVE,4.0
UNITED KINGDOM,University College London,CEGE 3015,COASTAL ENGINEERING,CIVL 4000,CIVIL ENGINEERING ELECTIVE,4.0
UNITED KINGDOM,University College London,CIVL 3015,COASTAL ENGINEERING,CIVL 4000,CIVIL ENGINEERING ELECTIVE,4.0
UNITED KINGDOM,University College London,CIVL 3022,STRUCTURAL MECHANICS III,CIVL 4000,CIVIL ENGINEERING ELECTIVE,4.0
UNITED KINGDOM,University College London,GEOM 3003,EMERGING COMMERCIAL LANDSCAPES,CIVL 4000,CIVIL ENGINEERING ELECTIVE,4.0
UNITED KINGDOM,University of Leeds,CIVE 2250,SUSTAINABLE ENGR SOLUTIONS,CIVL 4000,CIVIL ENGINEERING ELECTIVE,3.0
Vermont,Vermont Tech College,CET 2120,STRUCTURAL DESIGN,CIVL 4000,CIVIL ENGINEERING ELECTIVE,4.0
