School Location,School Name,School id(s),School Course(s),RPI Equiv id(s),RPI Equiv Courses(s),RPI Equiv Credits(s)
Maryland,Montgomery Coll Rckvlle,COMM 108,INTRO TO HUMAN COMMUNICATION,COMM 2520,INTRO TO GAME STORYTELLING,3.0
Massachusetts,Northeastern University,COMM 1225,COMMUNICATION THEORY,COMM 2520,COMMUNICATION THEORY & PRAC.,4.0
Michigan,Western Mich Univ,IEE 1020,TECH COMMUNICATION-HC,COMM 2520,COMMUNICATION THEORY & PRAC.,3.0
New York,Hostos Community College,ENG 202,TECHNICAL WRITING,COMM 2520,COMMUNICATION THEORY & PRAC.,3.0
New York,Ithaca College,WRTG 21700,"INQUIRY, RESEARCH & WRITING",COMM 2520,COMMUNICATION THEORY & PRAC.,3.0
New York,SUNY Canton,ENGL 101,COMPOSITION & THE SPOKEN WORD,COMM 2520,COMMUNICATION THEORY & PRAC.,3.0
Pennsylvania,Penn State University,ENGL 15,RHETORIC AND COMP,COMM 2520,COMMUNICATION THEORY & PRAC.,3.0
Pennsylvania,Robert Morris Col Pa,CSEN 1020,ARGUMENT AND RESEARCH,COMM 2520,COMMUNICATION THEORY & PRAC.,3.0
South Carolina,Univ South Carolina,JOUR 291,WRITING FOR MASS,COMM 2520,INTRO TO GAME STORYTELLING,3.0
Texas,Lone Star College,ENGL 1302,COMP & RHETORIC II,COMM 2520,INTRO TO GAME STORYTELLING,3.0
Washington,Edmonds Cmty Coll,CMST& 210,INTERPERSONAL COMM: CD,COMM 2520,COMMUNICATION THEORY & PRAC.,4.0
Washington,North Seattle College,CMST& 210,INTERPERSONAL COMMUNICATION,COMM 2520,COMMUNICATION THEORY & PRAC.,4.0
Wisconsin,Univ Wisc Madison,ENGL 204,"WRITING, RHETORIC & LITERACY",COMM 2520,COMMUNICATION THEORY & PRAC.,3.0
