School Location,School Name,School id(s),School Course(s),RPI Equiv id(s),RPI Equiv Courses(s),RPI Equiv Credits(s)
Arizona,Arizona State University Tempe,"CSE 120
AND CSE 230","DIGITAL DESIGN FUNDAMENTALS
AND COMPUTER ORG/ASSEMBL LANG",CSCI 2500,COMPUTER ORGANIZATION,4.0
Arizona,University of Arizona,ECE 274,DIGITAL LOGIC,CSCI 2500,COMPUTER ORGANIZATION,3.0
CHINA,Minzu University of China,"CSCI 6
AND CSCI 5","COMP COMP PRINC & ASSEMB LANG
AND DIGITAL LOGIC BASIC",CSCI 2500,COMPUTER ORGANIZATION,4.0
CHINA,Nankai University,"CSCI 7
AND CSCI 8","COMPUTER PRINCIPLE
AND APPL. OF MSP 430 MICROCOMPUTER",CSCI 2500,COMPUTER ORGANIZATION,4.0
CHINA,Shanghai Business School,"CSCI 09
AND CSCI 05","OPERATING SYSTEM
AND PRINCIPLES OF COMPUTER ORGANIZ",CSCI 2500,COMPUTER ORGANIZATION,4.0
CHINA,Southwest Jiaotong University,CSCI 4,COMPUTER ORG & ARCHITECTURE,CSCI 2500,COMPUTER ORGANIZATION,4.0
CHINA,Xi'an Jiaotong-Liverpool Univ.,CPT 101,COMPUTER SCIENCE,CSCI 2500,COMPUTER ORGANIZATION,4.0
California,Diablo Valley Coll,COMSC 260,ASSEMBLY LANG PROG/COMP ORG,CSCI 2500,COMPUTER ORGANIZATION,4.0
California,Golden West Coll,CS G242,COMPUTER ARCH & ORGANIZATION,CSCI 2500,COMPUTER ORGANIZATION,3.0
California,Irvine Valley Coll,"CS 40A
AND CS 36","COM ORG/ASSM LANG I
AND C PROGRAMMING",CSCI 2500,COMPUTER ORGANIZATION,4.0
California,Saddleback College,CS 3A,COMP ORG/MACHINE LANG,CSCI 2500,COMPUTER ORGANIZATION,4.0
California,Santa Clara Univ,"COEN 20L
AND COEN 20","COMP ORG & EMB SYS LAB
AND INTRO TO EMBEDDED SYSTEMS",CSCI 2500,COMPUTER ORGANIZATION,4.0
California,Univ Calif San Diego,CSE 30,COMPUTER ORGANIZ&SYSTEMS PROG,CSCI 2500,COMPUTER ORGANIZATION,4.0
California,Univ Of San Diego,"COMP 300
AND COMP 280","PRINCIPLES OF DIGITAL HARDWARE
AND INTRO TO COMPUTER SYSTEMS",CSCI 2500,COMPUTER ORGANIZATION,4.0
California,Univ San Francisco,CS 315,COMPUTER ARCHITECTURE w/LAB,CSCI 2500,COMPUTER ORGANIZATION,4.0
Connecticut,Connecticut College,COM 219,COMPUTER ORGANIZATION,CSCI 2500,COMPUTER ORGANIZATION,4.0
Connecticut,Southern Conn St Univ,CSC 207,COMPUTER SYSTEMS,CSCI 2500,COMPUTER ORGANIZATION,4.0
Georgia,Mercer Univ Macon,CSC 245,DATA STRUCT & ALGORITHM ANALYS,CSCI 2500,COMPUTER ORGANIZATION,3.0
Indiana,Earlham College,CS 320,PRINCIPLES OF COMPUTER,CSCI 2500,COMPUTER ORGANIZATION,3.0
MALAYSIA,Multimedia University,"DCS 5045
AND TCE 1111","COMPUTER SYS. ARCHITECTURE
AND DIGITAL SYSTEMS",CSCI 2500,COMPUTER ORGANIZATION,4.0
Maine,Univ Southern Maine,"COS 255
AND COS 250","COMPUTER ORGANIZATION LAB
AND COMPUTER ORGANIZATION",CSCI 2500,COMPUTER ORGANIZATION,4.0
Maryland,Johns Hopkins Univ.,CSCI 601.229,COMPUTER SYSTEM FUNDAMENTALS,CSCI 2500,COMPUTER ORGANIZATION,3.0
Massachusetts,Boston University,CS 210,COMPUTER SYSTEMS,CSCI 2500,COMPUTER ORGANIZATION,4.0
Massachusetts,Clark Univ,CSCI 140,ASSEMBLY LANG & COMPUTER,CSCI 2500,COMPUTER ORGANIZATION,4.0
Massachusetts,Wentworth Inst Tech,COMP 1200,COMPUTER ORGANIZATION,CSCI 2500,COMPUTER ORGANIZATION,4.0
Massachusetts,Worcester Polytechnic,CS 2303,SYSTEMS PROGRAMMING CONCEPTS,CSCI 2500,COMPUTER ORGANIZATION,4.0
Michigan,Eastern Michigan University,"EECE 251
AND COSC 221","DIGITAL LOGIC DESIGN
AND COMPUTER ORGANIZATION I",CSCI 2500,COMPUTER ORGANIZATION,4.0
NEW ZEALAND,University of Auckland,COMPSCI 215,COMPUTER SYSTEMS 2,CSCI 2500,COMPUTER ORGANIZATION,4.0
New Hampshire,Dartmouth College,COSC 037,COMPUTER ARCHITECTURE,CSCI 2500,COMPUTER ORGANIZATION,4.0
New Hampshire,U New Hmpshr Manches,CS 611,ASSEM. LANG PROG & MACH ORG,CSCI 2500,COMPUTER ORGANIZATION,4.0
New Hampshire,Univ New Hampshire,CS 520,ASSEMBLY LANG PROG&MACHINE ORG,CSCI 2500,COMPUTER ORGANIZATION,4.0
New Jersey,Bergen Cmty Coll,CIS 271,CPTR ORG & ASSEM LANG,CSCI 2500,COMPUTER ORGANIZATION,3.0
New Jersey,Coll Of New Jersey,CSC 325,COMPUTER ARCHITECTURE,CSCI 2500,COMPUTER ORGANIZATION,4.0
New Jersey,County Coll Morris,CMP 230,COMP ARCHITECTURE ASSEMBLY LAN,CSCI 2500,COMPUTER ORGANIZATION,3.0
New Jersey,County Coll Morris,"CMP 230
AND ELT 110","COMPUTER ASSEMBLY LANGUAGE
AND DIGITAL PRINCIPLES",CSCI 2500,COMPUTER ORGANIZATION,4.0
New Jersey,Kean Coll N J,"CPS 3250
AND CPS 2390","COMPUTER OPERATING SYSTEMS
AND COMP ORGANIZATION & ARCH",CSCI 2500,COMPUTER ORGANIZATION,4.0
New Jersey,Middlesex County Col,"CSC 264
AND CSC 263","COMPUTER ORGANIZATION AND ARCH
AND COMPUTER ORGANIZATION AND ARCH",CSCI 2500,COMPUTER ORGANIZATION,4.0
New Jersey,NJ Inst of Technology,"CS 332
AND CS 252","PRINCIPLES OF OPER SYS
AND COMPUTER ORG & ARCHITECT",CSCI 2500,COMPUTER ORGANIZATION,4.0
New Jersey,Passaic Co Cmty Coll,CIS 236,COMPUTER ORG AND ARC,CSCI 2500,COMPUTER ORGANIZATION,3.0
New Jersey,Raritan Vly Cmty Clg,CISY 256,COMP ARCH & ASSEMB LANGUAGE,CSCI 2500,COMPUTER ORGANIZATION,4.0
New Jersey,Rowan University,CS 06205,COMPUTER ORGANIZATION,CSCI 2500,COMPUTER ORGANIZATION,3.0
New Jersey,Stevens Inst of Technolgy,CS 383,COMP ORG & PROGRAMMING,CSCI 2500,COMPUTER ORGANIZATION,3.0
New Jersey,Union County College,EGG 251,DIGITAL DESIGN,CSCI 2500,COMPUTER ORGANIZATION,3.0
New York,Bard College,CMSC 325,MULTI CORE ARCHITECTURE,CSCI 2500,COMPUTER ORGANIZATION,4.0
New York,Borough Manhattn C C,"CSC 215
AND CIS 155","FUND OF COMPUTER SYSTEMS
AND COMPUTER HARDWARE",CSCI 2500,COMPUTER ORGANIZATION,4.0
New York,Borough Manhattn C C,"CSC 310
AND CSC 410","ASSEM LANGUAGE & ARC I
AND ASSEM LANGUAGE & ARC II",CSCI 2500,COMPUTER ORGANIZATION,4.0
New York,Clarkson University,CS 241,COMPUTER ORGANIZATION,CSCI 2500,COMPUTER ORGANIZATION,3.0
New York,Corning Cmty Coll,"CSCS 2430
AND CSCS 2660","DIGITAL LOGIC
AND COMPUTER ORGANIZATION",CSCI 2500,COMPUTER ORGANIZATION,4.0
New York,Erie C C North Camp,CS 221,MACH ORG & ASMB LANG PRG,CSCI 2500,COMPUTER ORGANIZATION,4.0
New York,Fordham University,CISC 3593,COMPUTER ORGANIZATION,CSCI 2500,COMPUTER ORGANIZATION,4.0
New York,Hofstra University,CSC 110,INTRO COMP ARCHITEC,CSCI 2500,COMPUTER ORGANIZATION,3.0
New York,Ithaca College,COMP 21000,INTRO TO COMP ORGNZTN & SYST,CSCI 2500,COMPUTER ORGANIZATION,4.0
New York,Jamestown Cmty Coll,CSC 2670,COMPUTER ORGANIZATION,CSCI 2500,COMPUTER ORGANIZATION,4.0
New York,Nassau Cmty College,CMP 207,COMPUTER ORG & PROG.,CSCI 2500,COMPUTER ORGANIZATION,4.0
New York,Nassau Cmty College,CMP 220,ANALY. OF COMP. ARCHITECTURE,CSCI 2500,COMPUTER ORGANIZATION,4.0
New York,Nassau Cmty College,CSC 250,COMPUTER ORG & PROGRAMMING,CSCI 2500,COMPUTER ORGANIZATION,4.0
New York,Nassau Cmty College,"CSC 260
AND CSC 217","COMPUTER ARCHITECTURE AND ORG
AND C PROGRAMMING LANGUAGE",CSCI 2500,COMPUTER ORGANIZATION,4.0
New York,Nassau Cmty College,"CSC 260
AND CSC 230","COMPUTER ARCHITECTURE AND ORG
AND DATA STRUCTURES",CSCI 2500,COMPUTER ORGANIZATION,4.0
New York,Onondaga Cmty Coll,CSC 211,COMPUTER SYSTEM ORGANIZATION,CSCI 2500,COMPUTER ORGANIZATION,4.0
New York,Orange Co Cmty Coll,CSC 204,COMP. ORG & ASSEMBLY LANG,CSCI 2500,COMPUTER ORGANIZATION,4.0
