School Location,School Name,School id(s),School Course(s),RPI Equiv id(s),RPI Equiv Courses(s),RPI Equiv Credits(s)
Alabama,Troy University,ECO 2251,PRIN OF MACROECONOMICS,ECON 1000,ECONOMICS ELECTIVE,3.0
Alabama,Troy University,"ECON 2251
AND ECON 2252","PRINCIPLES OF MACROECONOMICS
AND PRINCIPLES OF MICROECONOMICS","ECON 1000
AND ECON 1200","ECONOMICS ELECTIVE
AND INTRODUCTORY ECONOMICS","2.0
AND 4.0"
Alabama,Univ Alabama Tuscaloosa,"EC 110
AND EC 111","PRIN OF MICROECONOMICS
AND PRIN OF MACROECONOMICS","ECON 1000
AND ECON 1200","ECONOMICS ELECTIVE
AND INTRODUCTORY ECONOMICS","2.0
AND 4.0"
Alaska,Univ. of Alaska Anchorage,ECON A202,PRIN. OF MICROECONOMICS,ECON 1000,ECONOMICS ELECTIVE,3.0
Alaska,Univ. of Alaska Fairbanks,ECON F100X,POLITICAL ECONOMY,ECON 1000,ECONOMICS ELECTIVE,3.0
Arizona,Arizona State University Tempe,"ECN 211
AND ECN 212","MACROECONOMIC PRINCIPLES
AND MICROECONOMIC PRINCIPLES","ECON 1000
AND ECON 1200","ECONOMICS ELECTIVE
AND INTRODUCTORY ECONOMICS","3.0
AND 3.0"
Arizona,Embry-Riddle Aero U,EC 210,MICROECONOMICS,ECON 1000,ECONOMICS ELECTIVE,3.0
Arizona,Northern Arizona Univ,ECO 285,PRINCIPLES OF ECON: MACRO,ECON 1000,ECONOMICS ELECTIVE,3.0
Arizona,Northern Arizona Univ,FIN 190,PERSONAL FINANCE GLOBAL ECON,ECON 1000,ECONOMICS ELECTIVE,3.0
Arizona,University of Arizona,ECON 150C,AN ECONOMIC PERSPECTIVE,ECON 1000,ECONOMICS ELECTIVE,3.0
BELARUS,Belarussian Nat'l Tech. Univ.,BEL 47,ECONOMIC THEORY,ECON 1000,ECONOMICS ELECTIVE,4.0
BELARUS,Yanka Kupala St. Univ. Grodno,"ECON 02
AND ECON 01","APPLICATION SYSTEM DATA PROCES
AND FUNDAM OF ECONOM & INFOMATICS",ECON 1000,ECONOMICS ELECTIVE,3.0
BELARUS,Yanka Kupala St. Univ. Grodno,"ECON 05
AND ECON 04","MACROECONOMICS
AND MICROECONOMICS","ECON 1000
AND ECON 1200","ECONOMICS ELECTIVE
AND INTRODUCTORY ECONOMICS","1.0
AND 4.0"
BRAZIL,Escola de Engenharia,ECON 1,ECONOMICS,ECON 1000,ECONOMICS ELECTIVE,3.0
CANADA,Carleton University,ECON 1000,INSTRUCTION IN ECONOMICS,ECON 1000,ECONOMICS ELECTIVE,4.0
CANADA,Carleton University,ECON 1000,INSTRUCTION IN ECONOMICS,ECON 1000,ECONOMICS ELECTIVE,4.0
CANADA,McGill University,ECON 208,MICROECON. ANALY/APPLIC,ECON 1000,ECONOMICS ELECTIVE,3.0
CANADA,McGill University,ECONOMIC 154-208A,MICROECONOMIC ANALY & APPLI,ECON 1000,ECONOMICS ELECTIVE,3.0
CANADA,McGill University,ECON 208,MICROECON. ANALY/APPLIC,ECON 1000,ECONOMICS ELECTIVE,3.0
CANADA,McGill University,ECONOMIC 154-208A,MICROECONOMIC ANALY & APPLI,ECON 1000,ECONOMICS ELECTIVE,3.0
