School Location,School Name,School id(s),School Course(s),RPI Equiv id(s),RPI Equiv Courses(s),RPI Equiv Credits(s)
CHINA,Univ. of Int'l Business & Econ,ECO 21,INTRODUCTION TO ECONOMETRICS,ECON 4570,ECONOMETRICS,3.0
CHINA,Xiamen University,ECON 3,ECONOMETRICS,ECON 4570,ECONOMETRICS,3.0
CHINA,Zhongnan Univ of Econ & Law,STAT 03,PRINCIPLES OF ECONOMETRICS (BI,ECON 4570,ECONOMETRICS,3.0
California,Univ Calif San Diego,ECON 120A,ECONOMETRICS A,ECON 4570,ECONOMETRICS,4.0
Maryland,Johns Hopkins Univ.,ECON 180.334,ECONOMETRICS,ECON 4570,ECONOMETRICS,3.0
New York,Clarkson University,EC 311,INTRO TO ECONOMETRICS,ECON 4570,ECONOMETRICS,3.0
New York,Columbia University,ECON UN3412,INTRODUCTION TO ECONOMETR,ECON 4570,ECONOMETRICS,4.0
New York,Eugene Lang College,LECO 3010,INTRO TO ECONOMETRICS,ECON 4570,ECONOMETRICS,4.0
New York,SUNY Albany,ECO 320,ECONOMIC STATISTICS,ECON 4570,ECONOMETRICS,3.0
Pennsylvania,Swarthmore College,ECON 031,STATISTICS FOR ECOMOMISTS,ECON 4570,ECONOMETRICS,4.0
SINGAPORE,Nanyang Tech. Univ.,HE 204A,INTRODUCTORY ECONOMETRICS,ECON 4570,ECONOMETRICS,4.0
