School Location,School Name,School id(s),School Course(s),RPI Equiv id(s),RPI Equiv Courses(s),RPI Equiv Credits(s)
CHINA,Ocean University of China,CSCI 05,MICROCOMPUTER THEORY & APP SIN,ECSE 2000,"ELECT, COMP, AND SYS ENGR ELEC",4.0
CHINA,Ocean University of China,CSCI 07,EXPERIMENT IN MICROCOMPUTER TH,ECSE 2000,"ELECT, COMP, AND SYS ENGR ELEC",1.0
DENMARK,Technical Univ. of Denmark,31610 31610,APPLIED SIGNAL PROCESSING,"ECSE 2410
AND ECSE 2000","SIGNALS AND SYSTEMS
AND ELECT, COMP, AND SYS ENGR ELEC","3.0
AND 2.0"
DENMARK,Technical Univ. of Denmark,31730 31730,ELECTRIC POWER ENGR FUND.,"ECSE 2000
AND ECSE 2110","ELECT, COMP, AND SYS ENGR ELEC
AND ELECTRICAL ENERGY SYSTEMS","1.0
AND 4.0"
DENMARK,Technical Univ. of Denmark,33253 33253,MICRO 1:SOL STATE ELEC & MICRO,"ECSE 2000
AND ECSE 2210","ELECT, COMP, AND SYS ENGR ELEC
AND MICROELECTRONICS TECHNOLOGY","1.0
AND 4.0"
Massachusetts,Berkshire Cmty Coll,ENT 204,LINEAR CIRCUIT ANALYSIS II,ECSE 2000,"ELECT, COMP, AND SYS ENGR ELEC",4.0
New York,Finger Lakes Cc,ESC 222,ELECTRIC CIRCUITS,ECSE 2000,"ELECT, COMP, AND SYS ENGR ELEC",3.0
New York,Rochester Inst of Technology,"EEET 122
AND EEET 111
AND EEET 112
AND EEET 121","AC CIRCUITS LAB
AND DC CIRCUITS
AND DC CIRCUITS LAB
AND AC CIRCUITS","ECSE 2000
AND ECSE 2010","ELECT, COMP, AND SYS ENGR ELEC
AND ELECTRIC CIRCUITS","4.0
AND 4.0"
New York,SUNY Binghamton,EECE 212,LINEAR ALGEBRAŊ PROGRAMMING,ECSE 2000,"ELECT, COMP, AND SYS ENGR ELEC",4.0
New York,Suny Coll Tech Cnton,ELEC 141,INDUSTRIAL CONTROLS,ECSE 2000,"ELECT, COMP, AND SYS ENGR ELEC",2.0
New York,The City College of New York,"EE 32200
AND EE 22100","EE LAB 2
AND EE LAB I",ECSE 2000,"ELECT, COMP, AND SYS ENGR ELEC",2.0
Pennsylvania,Swarthmore College,ENGR 015,FUND - DIGITAL SYSTEMS,ECSE 2000,"ELECT, COMP, AND SYS ENGR ELEC",4.0
