School Location,School Name,School id(s),School Course(s),RPI Equiv id(s),RPI Equiv Courses(s),RPI Equiv Credits(s)
Arkansas,Arkansas Tech Univ,MCEG 3013,MECHANICS OF MATERIALS,ENGR 2530,STRENGTH OF MATERIALS,3.0
CANADA,McGill University,CIVE 207,SOLID MECHANICS,ENGR 2530,STRENGTH OF MATERIALS,4.0
CANADA,McGill University,CIVE 207,SOLID MECHANICS,ENGR 2530,STRENGTH OF MATERIALS,4.0
CANADA,University of Toronto,MIE 222HI,MECH OF SOLIDS I,ENGR 2530,STRENGTH OF MATERIALS,3.0
CANADA,University of Toronto,MIE 222HI,MECH OF SOLIDS I,ENGR 2530,STRENGTH OF MATERIALS,3.0
CHINA,Chongqing Univ. of Technology,ENGR 5,STRENGTH OF MATERIALS,ENGR 2530,STRENGTH OF MATERIALS,3.0
CHINA,East China Univ. of Sci & Tech,MECH 04,MECHANICS OF MATERIALS,ENGR 2530,STRENGTH OF MATERIALS,4.0
CHINA,Guilin Univ. of Technology,"ENGR 10
AND ENGR 5","MATERIALS MECHANICS B
AND MEASUREMENT PRACTICE",ENGR 2530,STRENGTH OF MATERIALS,4.0
CHINA,Wuhan University,ENGR 4,ENGINEERING MECHANICS,ENGR 2530,STRENGTH OF MATERIALS,4.0
California,Pasadena City Coll,ENGR 013,STRENGTH OF MATERIALS,ENGR 2530,STRENGTH OF MATERIALS,3.0
California,Univ of California Los Angeles,MECH&AE 101,STTCS & STRNGTH-MATLS,ENGR 2530,STRENGTH OF MATERIALS,4.0
Colorado,US Air Force Academy,ENGRMECH 330,MECHANICS/DEFORMABLE,ENGR 2530,STRENGTH OF MATERIALS,3.0
Connecticut,Fairfield University,ME 0308,STRENGTH OF MATERIALS,ENGR 2530,STRENGTH OF MATERIALS,3.0
Connecticut,Gateway Cmty-Tech Cl,MEC I250,STRENGTH OF MATERIALS,ENGR 2530,STRENGTH OF MATERIALS,3.0
Connecticut,US Coast Guard Acad,USCGA 1206,STRENGTH OF MATERIALS,ENGR 2530,STRENGTH OF MATERIALS,4.0
Connecticut,Univ Of New Haven,EASC 2220,MECHANICS OF MATERIALS,ENGR 2530,STRENGTH OF MATERIALS,3.0
EGYPT,Alexandria University,CE 268,THEORY OF STRUCTURE-7,ENGR 2530,STRENGTH OF MATERIALS,4.0
Florida,Florida Institute Technology,MAE 3083,MECH OF MATERIALS,ENGR 2530,STRENGTH OF MATERIALS,3.0
Florida,University of Miami,MAE 207,MECH OF SOLIDS II,ENGR 2530,STRENGTH OF MATERIALS,3.0
Illinois,Illinois Inst of Technology,MMAE 202,MECHANICS OF SOLIDS,ENGR 2530,STRENGTH OF MATERIALS,3.0
Illinois,Northwestern University,CIV ENV 216-0,MECHANICS OF MATERIALS I,ENGR 2530,STRENGTH OF MATERIALS,3.0
Illinois,Southern Illinois U,CE 350A,MECHANICS OF MATERIALS,ENGR 2530,STRENGTH OF MATERIALS,3.0
KAZAKHSTAN,Almaty Inst of Power Engr&Tech,ENGR 7,MECHANICS,ENGR 2530,STRENGTH OF MATERIALS,2.0
KAZAKHSTAN,South Kazakhstan State Univ.,ENGR 8,MECHANICS,ENGR 2530,STRENGTH OF MATERIALS,3.0
Louisiana,Tulane University,ENGR 243,MECHANICS OF MATERIALS,ENGR 2530,STRENGTH OF MATERIALS,3.0
Maine,Univ Southern Maine,MEE 251,STRENGTH OF MATERIALS,ENGR 2530,STRENGTH OF MATERIALS,3.0
Maine,University Maine,MEE 251,STRENGTH OF MATERIALS,ENGR 2530,STRENGTH OF MATERIALS,3.0
Maryland,Hagerstown Community College,EGT 231,STRENGTH OF MATERIALS,ENGR 2530,STRENGTH OF MATERIALS,3.0
Maryland,Howard Cmty College,ENES 140,MECHANICS OF MATERIALS,ENGR 2530,STRENGTH OF MATERIALS,3.0
Maryland,Montgomery Coll Rckvlle,ES 220,MECHANICS OF MATERIALS,ENGR 2530,STRENGTH OF MATERIALS,3.0
Maryland,U S Naval Academy,EM 217,STRENGTH OF MATERIALS,ENGR 2530,STRENGTH OF MATERIALS,4.0
Massachusetts,Berkshire Cmty Coll,ENT 214,STRENGTH OF MATERIALS,ENGR 2530,STRENGTH OF MATERIALS,3.0
Massachusetts,Bunker Hill Cmty Col,ENR 270,STRENGTH OF MATERIALS,ENGR 2530,STRENGTH OF MATERIALS,3.0
Massachusetts,Greenfield Cmty Coll,EGR 206,STRENGTH OF MATERIALS,ENGR 2530,STRENGTH OF MATERIALS,3.0
Massachusetts,Holyoke Cmty College,EGR 222,MECHANICS II-SOM,ENGR 2530,STRENGTH OF MATERIALS,3.0
Massachusetts,Northeastern University,CIV U320,STR. ANALYSIS 1,ENGR 2530,STRENGTH OF MATERIALS,4.0
Massachusetts,Northern Essex C C,EST 213,STRENGTH OF MATERIALS,ENGR 2530,STRENGTH OF MATERIALS,3.0
Massachusetts,Quinsigamond C C,ERG 225,STRENGTH OF MATERIALS,ENGR 2530,STRENGTH OF MATERIALS,3.0
Massachusetts,Springfield Tech C C,CIVL 446,STRUCTURES,ENGR 2530,STRENGTH OF MATERIALS,3.0
Massachusetts,Springfield Tech C C,ENGR 335,MECHANICS OF MATERIAL,ENGR 2530,STRENGTH OF MATERIALS,3.0
Massachusetts,Univ Mass Lowell,22 212,STRENGTH OF MATERIALS,ENGR 2530,STRENGTH OF MATERIALS,3.0
Massachusetts,Univ Mass at Amherst,ENG 211,STRENGTH OF MATERIALS,ENGR 2530,STRENGTH OF MATERIALS,3.0
Michigan,Michigan State Univ,ME 222,MECHANICS OF DEFORMABLE STOP,ENGR 2530,STRENGTH OF MATERIALS,3.0
Michigan,Western Mich Univ,ME 2570,MECHANICS OF MATERIALS,ENGR 2530,STRENGTH OF MATERIALS,3.0
New Hampshire,Univ New Hampshire,CIE 526,STRENGTH OF MATERIALS,ENGR 2530,STRENGTH OF MATERIALS,3.0
New Hampshire,Univ New Hampshire,ME 526,MECHANICS OF MATERIALS,ENGR 2530,STRENGTH OF MATERIALS,3.0
New Jersey,County Coll Morris,ENR 222,MECHANICS OF SOLIDS,ENGR 2530,STRENGTH OF MATERIALS,3.0
New Jersey,County Coll Morris,ENR 230,ENGR STRENGTH OF MATERIALS,ENGR 2530,STRENGTH OF MATERIALS,4.0
New Jersey,County Coll Morris,MEC 110,MATERIALS/ENGR TECH,ENGR 2530,STRENGTH OF MATERIALS,4.0
New Jersey,Stevens Inst of Technolgy,E 126,MECHANICS OF SOLIDS,ENGR 2530,STRENGTH OF MATERIALS,4.0
New York,Adirondack Cmty Coll,EGR 209,MECH. OF MATERIALS,ENGR 2530,STRENGTH OF MATERIALS,3.0
New York,Alfred University,CEMS 251,MECHANICS OF MATLS,ENGR 2530,STRENGTH OF MATERIALS,3.0
New York,Alfred University,MECH 241,MECHANICS OF MATERIALS,ENGR 2530,STRENGTH OF MATERIALS,3.0
New York,Broome Cmty Coll,EGR 283,STRENGTH OF MATERIALS,ENGR 2530,STRENGTH OF MATERIALS,3.0
New York,Clarkson University,ES 222,STRENGTH OF MATERIALS,ENGR 2530,STRENGTH OF MATERIALS,3.0
New York,Corning Cmty Coll,ENGR 2120,ENGINEERING MECHANICS II,ENGR 2530,STRENGTH OF MATERIALS,4.0
New York,Dutchess Cmty Coll,ENR 204,MECHANICS OF MATERIALS,ENGR 2530,STRENGTH OF MATERIALS,4.0
New York,Finger Lakes Cc,ESC 213,STRENGTH OF MATERIALS,ENGR 2530,STRENGTH OF MATERIALS,3.0
New York,Hudson Vly Cmty Coll,CIVL 112,STATICS & STRENGTH OF MATLS,ENGR 2530,STRENGTH OF MATERIALS,4.0
New York,Hudson Vly Cmty Coll,ENGR 218,STRENGTH OF MATERIALS,ENGR 2530,STRENGTH OF MATERIALS,4.0
New York,Hudson Vly Cmty Coll,MECT 225,STRENGTH OF MATERIALS,ENGR 2530,STRENGTH OF MATERIALS,4.0
New York,Jefferson Cmty C Ny,ENS 206,MECH OF MATERIALS,ENGR 2530,STRENGTH OF MATERIALS,3.0
New York,Manhattan College,"MECH 230
AND MECH 231","INTRO SOLID MECHANICS
AND SOLID MECHANICS LABORATORY",ENGR 2530,STRENGTH OF MATERIALS,4.0
New York,Mohawk Valley C C,ES 261,MECHANICS OF MATLS,ENGR 2530,STRENGTH OF MATERIALS,3.0
New York,Mohawk Valley C C,MT 230,STRENGTH/MATRLS-MECH,ENGR 2530,STRENGTH OF MATERIALS,4.0
New York,Monroe Cmty College,ENR 256,MECHANICS OF MATERIALS,ENGR 2530,STRENGTH OF MATERIALS,3.0
New York,Nassau Cmty College,ENS 207,MECHANICS OF MATERIALS,ENGR 2530,STRENGTH OF MATERIALS,3.0
New York,New York City Tech C,MECH 2333,STRENGTH OF MATERIALS II,ENGR 2530,STRENGTH OF MATERIALS,3.0
New York,New York Inst Tech,MENG 221,STRENGTH OF MATERIALS,ENGR 2530,STRENGTH OF MATERIALS,3.0
New York,Onondaga Cmty Coll,ENS 212,MECHANICS OF MATERIALS,ENGR 2530,STRENGTH OF MATERIALS,3.0
New York,Onondaga Cmty Coll,MET 251,APPL STRENGTH/MATERI,ENGR 2530,STRENGTH OF MATERIALS,4.0
New York,Orange Co Cmty Coll,53 220,INTRO TO SOLID MECHANICS,ENGR 2530,STRENGTH OF MATERIALS,3.0
New York,Orange Co Cmty Coll,EGR 220,SOLID MECHANICS,ENGR 2530,STRENGTH OF MATERIALS,3.0
New York,Queensborough C C,MT 345,STRENGTH OF MATERIALS,ENGR 2530,STRENGTH OF MATERIALS,3.0
New York,Rochester Inst of Technology,CVET 220,STRENGTH OF MATERIALS,ENGR 2530,STRENGTH OF MATERIALS,4.0
New York,Rochester Inst of Technology,"MECE 203
AND MECE 204","STRENGTH OF MATERIALS
AND STRENGTH OF MATERIALS I LAB",ENGR 2530,STRENGTH OF MATERIALS,4.0
New York,Rockland Cmty Coll,ENR 210,STRENGTH AND MATERIALS,ENGR 2530,STRENGTH OF MATERIALS,3.0
New York,SUNY Albany,ESE 202,STRENGTH OF MATERIALS,ENGR 2530,STRENGTH OF MATERIALS,3.0
New York,SUNY Buffalo,EAS 209,MECHANICS OF SOLIDS,ENGR 2530,STRENGTH OF MATERIALS,3.0
New York,SUNY Canton,ENGS 203,ENG STRENGTH OF MATERIALS,ENGR 2530,STRENGTH OF MATERIALS,3.0
New York,SUNY Coll Ag & Tech,ENGR 212,MECHANICS OF MATERIALS,ENGR 2530,STRENGTH OF MATERIALS,3.0
New York,SUNY Coll Fredonia,PHYS 322,MECHANICS OF SOLIDS,ENGR 2530,STRENGTH OF MATERIALS,4.0
New York,SUNY Inst. of Tech Utica/Rome,ESC 230,MECHANICS OF MATERIALS,ENGR 2530,STRENGTH OF MATERIALS,4.0
New York,SUNY Oneonta,ENGR 315,STRENGTH OF MATERIALS,ENGR 2530,STRENGTH OF MATERIALS,4.0
New York,SUNY at Stony Brook,MEC 363,MECHANICS OF SOLIDS,ENGR 2530,STRENGTH OF MATERIALS,3.0
New York,Siena College,APHY 270,STRENGTH OF MATERIALS,ENGR 2530,STRENGTH OF MATERIALS,3.0
New York,Suny Coll Tech Alfrd,ENGR 4264,ENGR MECHANICS OF MATLS,ENGR 2530,STRENGTH OF MATERIALS,4.0
New York,Suny Coll Tech Cnton,ENGS 203,ENG STRENGTH OF MATERIALS,ENGR 2530,STRENGTH OF MATERIALS,3.0
New York,Syracuse University,ECS 325,MECHANICS OF SOLIDS,ENGR 2530,STRENGTH OF MATERIALS,4.0
New York,Tompkins-Cortland Cc,ENSC 204,MECHANICS OF MATERIALS,ENGR 2530,STRENGTH OF MATERIALS,3.0
New York,US Merch Marine Acad,ES 301,STRENGTH OF MATERIALS,ENGR 2530,STRENGTH OF MATERIALS,2.0
New York,Ulster Co Cmty Coll,ENR 217,STRENGTH OF MATERIALS,ENGR 2530,STRENGTH OF MATERIALS,3.0
New York,Union College NY,MER 214,STRENGTH OF MATERIALS W/LAB,ENGR 2530,STRENGTH OF MATERIALS,3.0
New York,Webb Institute,ES 7,STRENGTH OF MATERIALS,ENGR 2530,STRENGTH OF MATERIALS,3.0
New York,Westchester Cmty Col,CIVIL 201,ELEM-STRENGTH OF MATL,ENGR 2530,STRENGTH OF MATERIALS,3.0
New York,Westchester Cmty Col,CIVIL 221,STRENGTH OF MATERIALS,ENGR 2530,STRENGTH OF MATERIALS,3.0
New York,Westchester Cmty Col,CIVL 201,ELEM-STRENGTH OF MATL,ENGR 2530,STRENGTH OF MATERIALS,3.0
North Carolina,North Carolina St U,CE 313,MECAHNICS OF SOLIDS,ENGR 2530,STRENGTH OF MATERIALS,3.0
PERU,National Univ. of Engineering,"CEC 121J
AND CEC 122I","MATERIAL RESISTANCE I
AND MATERIAL RESISTANCE II",ENGR 2530,STRENGTH OF MATERIALS,4.0
Pennsylvania,Lafayette College,ES 230,STRENGTH OF MATERIALS,ENGR 2530,STRENGTH OF MATERIALS,4.0
Pennsylvania,Lehigh University,MECH 012,STRENGTH OF MATERIALS,ENGR 2530,STRENGTH OF MATERIALS,3.0
Pennsylvania,Northampton Co Ar Cc,ENGG 251,STRENGTH OF MATERIALS,ENGR 2530,STRENGTH OF MATERIALS,3.0
Pennsylvania,Penn State University,E MCH 013,STRENGTH MATERIALS,ENGR 2530,STRENGTH OF MATERIALS,3.0
Pennsylvania,Penn State University,E MCH 213,STRENGTH OF MATERIALS,ENGR 2530,STRENGTH OF MATERIALS,3.0
Pennsylvania,Penn State University,EMCH 213,STRENGTH OF MATERIALS,ENGR 2530,STRENGTH OF MATERIALS,3.0
RUSSIAN FEDERATION,Mordovian State University,ENGR 2,RESISTANCE OF MATERIALS,ENGR 2530,STRENGTH OF MATERIALS,4.0
RUSSIAN FEDERATION,UFA State Petroleum Tech. Univ,USPTU 19,STRENGTH OF MATERIALS,ENGR 2530,STRENGTH OF MATERIALS,4.0
SINGAPORE,Nanyang Tech. Univ.,MS 2015,MECH. BEHAVIOUR OF MATERIALS,ENGR 2530,STRENGTH OF MATERIALS,3.0
SOUTH KOREA,Seoul Natl Univ.,ENGR 02,MECHANICS OF MATERIALS,ENGR 2530,STRENGTH OF MATERIALS,3.0
UNITED KINGDOM,Swansea University,EG 120,STRENGTH OF MATERIALS,ENGR 2530,STRENGTH OF MATERIALS,3.0
UNITED KINGDOM,University of Bath,ME 10010,SOLID MECHANICS 2,ENGR 2530,STRENGTH OF MATERIALS,3.0
UZBEKISTAN,Tashkent Turin Poly. Univ.,"ENGR 3
AND ENGR 1
AND ENGR 2","APPLIED MECHANICS
AND THERMODYNAMICS
AND THEORETICAL MECHANICS","ENGR 2530
AND ENGR 2090
AND ENGR 1100","STRENGTH OF MATERIALS
AND ENGINEERING DYNAMICS
AND INTRO TO ENGR ANALYSIS","3.0
AND 3.0
AND 3.0"
Virginia,Old Dominion Univ,MAE 220,ENG MECH II - SOLID MECHANICS,ENGR 2530,STRENGTH OF MATERIALS,3.0
Virginia,Thomas Nelson C C,EGR 246,MECH MATERIALS,ENGR 2530,STRENGTH OF MATERIALS,3.0
Virginia,Virginia Tech,ESM 2204,MECHANICS OF DEFORMABLE BODI,ENGR 2530,STRENGTH OF MATERIALS,3.0
Virginia,Virginia Westrn C C,EGR 246,MECHANICS OF MATERIALS,ENGR 2530,STRENGTH OF MATERIALS,3.0
Washington,Seattle Central College,ENGR 225,MECHANICS OF MATERIALS,ENGR 2530,STRENGTH OF MATERIALS,4.0
Washington,Shoreline Cmty Coll,ENGR 225,MECHANICS OF MATERIALS,ENGR 2530,STRENGTH OF MATERIALS,4.0
Washington,University of Washington,CEE 220,INTRO MECH OF MATERIALS,ENGR 2530,STRENGTH OF MATERIALS,4.0
West Virginia,West Virginia Univ,MAE 243,MECHANICS OF MATERIALS,ENGR 2530,STRENGTH OF MATERIALS,3.0
