School Location,School Name,School id(s),School Course(s),RPI Equiv id(s),RPI Equiv Courses(s),RPI Equiv Credits(s)
AUSTRALIA,University of New South Wales,MSCI 0501,THE MARINE ENVIRONMENT,ERTH 1000,EARTH & ENV. SCIENCE ELECTIVE,4.0
Alabama,Univ Alabama Tuscaloosa,GEO 101,THE DYNAMIC EARTH W/LAB,ERTH 1000,EARTH & ENV. SCIENCE ELECTIVE,4.0
Arizona,Arizona State University Tempe,"GLG 101
AND GLG 103","INTRO TO GEOLOGY I (PHYSICAL)
AND INTRO TO GEOLOGY I - LAB",ERTH 1000,EARTH & ENV. SCIENCE ELECTIVE,4.0
CANADA,McGill University,EPSC 221,GENERAL GEOLOGY,ERTH 1000,EARTH & ENV. SCIENCE ELECTIVE,3.0
CANADA,McGill University,EPSC 221,GENERAL GEOLOGY,ERTH 1000,EARTH & ENV. SCIENCE ELECTIVE,3.0
CANADA,University of Alberta,EAS 100,PLANET EARTH,ERTH 1000,EARTH & ENV. SCIENCE ELECTIVE,3.0
CANADA,University of Alberta,EAS 206,GEOLOGY OF THE SOLAR SYSTEM,ERTH 1000,EARTH & ENV. SCIENCE ELECTIVE,3.0
CANADA,University of Alberta,EAS 100,PLANET EARTH,ERTH 1000,EARTH & ENV. SCIENCE ELECTIVE,3.0
CANADA,University of Alberta,EAS 206,GEOLOGY OF THE SOLAR SYSTEM,ERTH 1000,EARTH & ENV. SCIENCE ELECTIVE,3.0
CANADA,University of Manitoba,ENVR 1000,ENVIRONMENTAL SCIENCE 1,ERTH 1000,EARTH & ENV. SCIENCE ELECTIVE,3.0
CANADA,University of Manitoba,ENVR 1000,ENVIRONMENTAL SCIENCE 1,ERTH 1000,EARTH & ENV. SCIENCE ELECTIVE,3.0
CHINA,Guilin Univ. of Technology,ENGR 12,HYDROLOGY B,ERTH 1000,EARTH & ENV. SCIENCE ELECTIVE,2.0
CHINA,Ocean University of China,GEOL 01,INTRO TO ENVIRONMENTAL GEOLOGY,ERTH 1000,EARTH & ENV. SCIENCE ELECTIVE,2.0
California,Colleg of the  Canyons,GEOL 103,DINOSAURS,ERTH 1000,EARTH & ENV. SCIENCE ELECTIVE,3.0
California,De Anza College,MET 010,WEATHER AND CLIMATE PROCESSES,ERTH 1000,EARTH & ENV. SCIENCE ELECTIVE,4.0
California,East Los Angeles Col,EARTH 001,EARTH SCIENCE,ERTH 1000,EARTH & ENV. SCIENCE ELECTIVE,3.0
California,East Los Angeles Col,GEOLOGY 001,PHYSICAL GEOLOGY,ERTH 1000,EARTH & ENV. SCIENCE ELECTIVE,3.0
