School Location,School Name,School id(s),School Course(s),RPI Equiv id(s),RPI Equiv Courses(s),RPI Equiv Credits(s)
Arizona,Northern Arizona Univ,"ENV 101
AND ENV 101L","INTRO TO ENVIRON SCIENCE
AND INTRO TO ENVIRON SCI. LAB",IENV 1000,INTERDISCIPLINARY ENVIR ELECT,4.0
CANADA,McGill University,GEOL SC 186-243B,ENVIRONMENTAL GEOLOGY,IENV 1000,INTERDISCIPLINARY ENVIR ELECT,3.0
CANADA,McGill University,GEOL SC 186-243B,ENVIRONMENTAL GEOLOGY,IENV 1000,INTERDISCIPLINARY ENVIR ELECT,3.0
CHINA,Nanjing University of Tech.,ENVI 1,GRP PROJ ENVIRONMENTAL TECH,IENV 1000,INTERDISCIPLINARY ENVIR ELECT,4.0
CHINA,Wuhan University,"ENVN 1
AND SSCI 1","WATER RES & ECOL ENV IN NW CHI
AND WATER QUAL W/HUMAN HEALTH &",IENV 1000,INTERDISCIPLINARY ENVIR ELECT,2.0
California,Canada Coll,BIOL 145,"PLANTS, PEOPLE & ENVIRONMENT",IENV 1000,INTERDISCIPLINARY ENVIR ELECT,3.0
Colorado,Univ Nthrn Colorado,ENST 100,INTRO ENVIRONMENTAL STUDIES,IENV 1000,INTERDISCIPLINARY ENVIR ELECT,3.0
Connecticut,Univ of Connecticut,EEB 205,CURRENT ISSUES ENVIRON SCI,IENV 1000,INTERDISCIPLINARY ENVIR ELECT,3.0
Connecticut,Univ of Connecticut,NRE 1000,ENVIRONMENTAL SCIENCE,IENV 1000,INTERDISCIPLINARY ENVIR ELECT,4.0
Connecticut,Wesleyan University,ENVS 197,INTRO TO ENV STUDIES,IENV 1000,INTERDISCIPLINARY ENVIR ELECT,4.0
Florida,Florida International Univ.,"EVR 1001
AND EVR 1001L","INTRO ENVIRONMENTAL SCIENCE
AND INTRO ENVIRONMENTAL SCI LAB",IENV 1000,INTERDISCIPLINARY ENVIR ELECT,4.0
Iowa,University Of Iowa,012 008,INTRO TO ENVIRON. SCIENCE,IENV 1000,INTERDISCIPLINARY ENVIR ELECT,4.0
Maine,Univ New England,ENV 104,INTRO TO ENVIRON. ISSUES,IENV 1000,INTERDISCIPLINARY ENVIR ELECT,3.0
Maine,University Maine,BIO 319,GENERAL ECOLOGY,IENV 1000,INTERDISCIPLINARY ENVIR ELECT,3.0
Maryland,U. of  Maryland College Park,GEOL 120,ENVIRONMENTAL GEOLOGY,IENV 1000,INTERDISCIPLINARY ENVIR ELECT,3.0
Massachusetts,Berkshire Cmty Coll,ENV 148,INTRO SUSTAINABLE ENERGY,IENV 1000,INTERDISCIPLINARY ENVIR ELECT,3.0
Massachusetts,Boston University,GE 100,INTRO TO ENVIRONMENTAL SCIENCE,IENV 1000,INTERDISCIPLINARY ENVIR ELECT,4.0
Massachusetts,Bristol Communty Col,EGR 141,INTRODUCTION TO ENVIRONMEN I,IENV 1000,INTERDISCIPLINARY ENVIR ELECT,3.0
Massachusetts,Bunker Hill Cmty Col,ENV 105,ENVIRONMENTAL SCIENCE W/LAB,IENV 1000,INTERDISCIPLINARY ENVIR ELECT,4.0
Massachusetts,Holyoke Cmty College,ENV 120,PRINC OF ENV SCIENCE 1,IENV 1000,INTERDISCIPLINARY ENVIR ELECT,4.0
Massachusetts,Northeastern University,ENVR 1111,WEATHER & CLIMATE,IENV 1000,INTERDISCIPLINARY ENVIR ELECT,4.0
Massachusetts,Northeastern University,INT 1220,COASTAL MANAGEMENT,IENV 1000,INTERDISCIPLINARY ENVIR ELECT,3.0
Massachusetts,Univ Mass Boston,ENVSCI 101,GLOBAL ENVIRONMENT,IENV 1000,INTERDISCIPLINARY ENVIR ELECT,3.0
New Hampshire,New England College,ES 1110,ENV SCIENCE: GLOBAL CONCERNS,IENV 1000,INTERDISCIPLINARY ENVIR ELECT,4.0
New Jersey,County Coll Morris,BIO 127,BIO-ENVIRON. CONCERNS,IENV 1000,INTERDISCIPLINARY ENVIR ELECT,3.0
New Jersey,Rider University,"ENVE 100
AND ENV 100L","INTRO TO ENVIRONMENTAL SCI
AND INTRO TO ENVIRON. SCI LAB",IENV 1000,INTERDISCIPLINARY ENVIR ELECT,4.0
New York,Adirondack Cmty Coll,GEO 104,WEATHER AND CLIMATE,IENV 1000,INTERDISCIPLINARY ENVIR ELECT,2.0
New York,Baruch College,ENV 1020,PRINCIPLES OF ECOLOGY,IENV 1000,INTERDISCIPLINARY ENVIR ELECT,4.0
New York,Bronx Cmty Coll,ENV 11,ENVIRONMENTAL HEALTH,IENV 1000,INTERDISCIPLINARY ENVIR ELECT,4.0
New York,Bryant Strattn Bus I,NSCI 280,ECONOLOGY,IENV 1000,INTERDISCIPLINARY ENVIR ELECT,3.0
New York,Canisius College,CHM 104,ENERGY & ENVIRONMENT,IENV 1000,INTERDISCIPLINARY ENVIR ELECT,3.0
New York,Clarkson University,BY 130,CONTEM. ISSUES IN ENV SCIENCE,IENV 1000,INTERDISCIPLINARY ENVIR ELECT,3.0
New York,Fulton-Montgomery Cc,"BI 2762
AND BI 2761","ECOLOGY LAB
AND ECOLOGY",IENV 1000,INTERDISCIPLINARY ENVIR ELECT,4.0
New York,Genesee Cmty Coll,BIO 290,FLD EXP ENVIRONMENTAL SCI,IENV 1000,INTERDISCIPLINARY ENVIR ELECT,4.0
New York,Hamilton College,GEOSC 103,GEOL & DEVEL N. AFRICA/M. EAST,IENV 1000,INTERDISCIPLINARY ENVIR ELECT,4.0
New York,Hobart and William Smith Coll.,ENV 200,ENVIRONMENTAL SCIENCE,IENV 1000,INTERDISCIPLINARY ENVIR ELECT,4.0
New York,Hudson Vly Cmty Coll,BIOL 104,TOPICS IN BIO: THE ENVIRONMENT,IENV 1000,INTERDISCIPLINARY ENVIR ELECT,3.0
New York,Hunter College,PGEOG 13000,WEATHER AND CLIMATE,IENV 1000,INTERDISCIPLINARY ENVIR ELECT,4.0
