School Location,School Name,School id(s),School Course(s),RPI Equiv id(s),RPI Equiv Courses(s),RPI Equiv Credits(s)
Arizona,University of Arizona,GER 150B1,BECOME TRANSCULT: STUDY ABROAD,IHSS 1000,INTERDIS. HUM & SOC SCI ELECT,3.0
CHINA,Beijing Forestry University,ENGL 03,ENGLISH ALLUSIONS & ORIGINS,IHSS 1000,INTERDIS. HUM & SOC SCI ELECT,2.0
CHINA,Zhengzhou Univ.,HASS 04,COMMUNICATION PSYCHOLOGY,IHSS 1000,INTERDIS. HUM & SOC SCI ELECT,2.0
California,Harvey Mudd College,HSA 010,CRIT INQ: EVAL PSYCHO. CLAIM,IHSS 1000,INTERDIS. HUM & SOC SCI ELECT,3.0
California,Harvey Mudd College,HUM 001,INTRO HUMANITIES & SOCIAL SCIE,IHSS 1000,INTERDIS. HUM & SOC SCI ELECT,4.0
California,Harvey Mudd College,HUM 002,LIFE AFTER DEATH/LIFE BEF DEAT,IHSS 1000,INTERDIS. HUM & SOC SCI ELECT,3.0
California,Pasadena City Coll,HUM 001,INTRODUCTION TO THE HUMANITIES,IHSS 1000,INTERDIS. HUM & SOC SCI ELECT,3.0
California,Pasadena City Coll,HUM 004,HUMANITIES THROUGH THE ARTS,IHSS 1000,INTERDIS. HUM & SOC SCI ELECT,3.0
California,Pitzer College,FS 017,RACE IN AMERICA,IHSS 1000,INTERDIS. HUM & SOC SCI ELECT,4.0
California,Saint Mary's College,SEM 001,CRTCL STRATEG AND GREAT QUEST,IHSS 1000,INTERDIS. HUM & SOC SCI ELECT,4.0
California,Saint Mary's College,SEM 002,WESTERN TRADITION I,IHSS 1000,INTERDIS. HUM & SOC SCI ELECT,4.0
California,Univ Calif San Diego,DOC 1,DIVERSITY,IHSS 1000,INTERDIS. HUM & SOC SCI ELECT,4.0
California,Univ Calif San Diego,DOC 2,JUSTICE,IHSS 1000,INTERDIS. HUM & SOC SCI ELECT,4.0
California,Univ Of San Diego,THRS 116,INTRO TO BIBLICAL STUDIES,IHSS 1000,INTERDIS. HUM & SOC SCI ELECT,3.0
California,West Valley Coll,HUMN 001A,HUMAN VALUES IN & FROM THE ART,IHSS 1000,INTERDIS. HUM & SOC SCI ELECT,3.0
Connecticut,Housatonic Community College,ECE E215,THE EXCEPTIONAL LEARNERS,IHSS 1000,INTERDIS. HUM & SOC SCI ELECT,3.0
Connecticut,Middlesex Cmty-Tech,HON F102,HONORS SEMINAR II,IHSS 1000,INTERDIS. HUM & SOC SCI ELECT,1.0
