School Location,School Name,School id(s),School Course(s),RPI Equiv id(s),RPI Equiv Courses(s),RPI Equiv Credits(s)
California,Foothill Coll,NANO 051,INTRO TO NANOTECHNOLOGY,ISCI 1000,INTERDISCIPLINARY SCI ELECTIVE,3.0
Florida,Florida International Univ.,"ISC 1000
AND ISC 1000L","GREAT IDEAS IN SCIENCE
AND GREAT IDEAS IN SCIENCE LAB",ISCI 1000,INTERDISCIPLINARY SCI ELECTIVE,4.0
Florida,Santa Fe Cmty Coll,"PSC 2121L
AND PSC 2121","PHY SCI LAB
AND GEN PHY",ISCI 1000,INTERDISCIPLINARY SCI ELECTIVE,4.0
New York,Adirondack Cmty Coll,SCI 210,FORENSIC SCIENCE,ISCI 1000,INTERDISCIPLINARY SCI ELECTIVE,4.0
New York,Columbia University,APAM E1601,INTRO-COMPUTATIONAL MATH/PHYS,ISCI 1000,INTERDISCIPLINARY SCI ELECTIVE,3.0
New York,SUNY Geneseo,CHEM 103,CHEMISTRY & SOCIETY,ISCI 1000,INTERDISCIPLINARY SCI ELECTIVE,4.0
New York,Schenectady Co C C,PHY 120,PHYSICS SCIENCE I,ISCI 1000,INTERDISCIPLINARY SCI ELECTIVE,3.0
New York,St Johns Univ Jamca,SCI 1000C,SCI INQ: EVOLUTION,ISCI 1000,INTERDISCIPLINARY SCI ELECTIVE,3.0
Pennsylvania,Montgomery Co C C,AST 121,ASTROBIOLOGY,ISCI 1000,INTERDISCIPLINARY SCI ELECTIVE,4.0
Washington,Evergreen St College,ESC 30591,SYMMETRY IN NATURE,ISCI 1000,INTERDISCIPLINARY SCI ELECTIVE,4.0
