School Location,School Name,School id(s),School Course(s),RPI Equiv id(s),RPI Equiv Courses(s),RPI Equiv Credits(s)
California,Univ Calif Davis,MGMT 120,MANAGING & USING INFO TECH,ITWS 1000,INFORMATION TECHNOL ELECTIVE,4.0
California,Univ Calif San Diego,CSE 134B,WEB CLIENT LANGUAGES,ITWS 1000,INFORMATION TECHNOL ELECTIVE,4.0
Connecticut,Univ of Connecticut,DMD 3993,FOREIGN STUDY-COLLEGE INFORM T,ITWS 1000,INFORMATION TECHNOL ELECTIVE,2.0
Indiana,Indiana Univ Bloomng,INFO-I 101,INTRODUCTION TO INFORMATICS,ITWS 1000,INFORMATION TECHNOL ELECTIVE,4.0
Maryland,Commun Coll of Baltimore Cnty,CINS 101,INTRO TO COMPUTERS,ITWS 1000,INFORMATION TECHNOL ELECTIVE,3.0
Massachusetts,Springfield Tech C C,PROG 109,INFO SYS FUND,ITWS 1000,INFORMATION TECHNOL ELECTIVE,3.0
New Jersey,St Peters College,CS 150,INTRO COMP & INFO PROCESSING,ITWS 1000,INFORMATION TECHNOL ELECTIVE,3.0
New Jersey,Warren Co Cmty Coll,CSC 110,SYSTEMS ANALYSIS,ITWS 1000,INFORMATION TECHNOL ELECTIVE,3.0
New York,Clarkson University,CS 110,INTRO TO INFORMATION TECHNO.,ITWS 1000,INFORMATION TECHNOL ELECTIVE,3.0
New York,Hudson Vly Cmty Coll,CISS 215,PROJECT MANAGEMENT,ITWS 1000,INFORMATION TECHNOL ELECTIVE,4.0
New York,SUNY Albany,"BFOR 202
AND BFOR 201","CYBER CRIME INVESTIGATIONS
AND INTRO TO DIGITAL FORENSICS",ITWS 1000,INFORMATION TECHNOL ELECTIVE,4.0
New York,SUNY Albany,BITM 215,INFORMATION TECH FOR BUSINESS,ITWS 1000,INFORMATION TECHNOL ELECTIVE,3.0
New York,SUNY Albany,IINF 305,DIGITAL PROJECT MANAGEMENT,ITWS 1000,INFORMATION TECHNOL ELECTIVE,3.0
New York,SUNY Albany,INF 100,INFORMATION IN 21ST CENTURY,ITWS 1000,INFORMATION TECHNOL ELECTIVE,3.0
New York,SUNY Albany,INF 100X,INFORMATION IN 21ST CENTURY,ITWS 1000,INFORMATION TECHNOL ELECTIVE,3.0
New York,Siena College,DCU-ES 106,INFORMATION TECHNOLOGY,ITWS 1000,INFORMATION TECHNOL ELECTIVE,3.0
Pennsylvania,Drexel University,"CI 102
AND CI 101","COMP & INFO DESIGN II
AND COMP & INFO DESIGN I",ITWS 1000,INFORMATION TECHNOL ELECTIVE,4.0
Pennsylvania,Drexel University,CI 103,COMP & INFO DESIGN III,ITWS 1000,INFORMATION TECHNOL ELECTIVE,2.0
Rhode Island,Bryant University,ISA 201,INTRO TO INFOR TEC AND ANALYT,ITWS 1000,INFORMATION TECHNOL ELECTIVE,3.0
UNITED KINGDOM,University of Leeds,COMP 3441,BUSINESS ISSUES IN COMPUTING,ITWS 1000,INFORMATION TECHNOL ELECTIVE,3.0
Virginia,Northern Virginia CC Annandale,ITN 101,INTRO/NETWK CONCEPTS,ITWS 1000,INFORMATION TECHNOL ELECTIVE,3.0
West Virginia,American Public University,ITCC 2000,APPLICATION SOFTWARE INTEGRATI,ITWS 1000,INFORMATION TECHNOL ELECTIVE,3.0
