School Location,School Name,School id(s),School Course(s),RPI Equiv id(s),RPI Equiv Courses(s),RPI Equiv Credits(s)
Arizona,Northern Arizona Univ,JPN 101,FIRST YEAR JAPANESE,LANG 1210,JAPANESE I,4.0
California,Cabrillo Coll,JAPAN 1,BEGINNING JAPANESE,LANG 1210,JAPANESE I,4.0
California,Foothill Coll,JAPN 001,ELEMENTARY JAPANESE,LANG 1210,JAPANESE I,3.0
California,Riverside Cmty Coll,JPN 1,JAPANESE I,LANG 1210,JAPANESE I,4.0
Georgia,Spelman College,SFLJ 101,ELEMENTARY JAPANESE I,LANG 1210,JAPANESE I,4.0
Iowa,Grinnell College,JPN 101,BEGINNING JAPANESE I,LANG 1210,JAPANESE I,4.0
Kentucky,Western Kentucky Uni,JAPN 101,ELEMENTARY JAPANESE I,LANG 1210,JAPANESE I,3.0
Maryland,Anne Arundel C C,JPN 113,ELEMENTARY JAPANESE 3,LANG 1210,JAPANESE I,3.0
Massachusetts,Boston Coll,SL 023,ELEMENTARY JAPANEXE,LANG 1210,JAPANESE I,4.0
Michigan,Western Mich Univ,JPNS 2750,JAPANESE LANG. AND CULTURE,LANG 1210,JAPANESE I,3.0
New Jersey,County Coll Morris,JPN 111,ELEMENTARY JAPANESE I,LANG 1210,JAPANESE I,3.0
New York,Baruch College,JPN 1001,ELEMENTARY JAPANESE,LANG 1210,JAPANESE I,3.0
New York,Fordham University,JPAN 1001,JAPANESE I,LANG 1210,JAPANESE I,4.0
New York,Marist College,JPN 101L,ELEMENTARY JAPANESE I,LANG 1210,JAPANESE I,3.0
New York,Pace Univ NYC,JPN 101,ELEMENTARY JAPANESE I,LANG 1210,JAPANESE I,3.0
New York,SUNY Albany,EAJ 101,ELEMENTARY JAPANESE,LANG 1210,JAPANESE I,4.0
New York,SUNY Buffalo,JPN 101,1ST YEAR JAPANESE,LANG 1210,JAPANESE I,4.0
Oklahoma,Univ Oklahoma,JAPN 1115,BEGINNING JAPANESE,LANG 1210,JAPANESE I,4.0
Pennsylvania,Drexel University,JAPN 101,JAPANESE I,LANG 1210,JAPANESE I,4.0
Washington,Bellevue College,JAPN 121,JAPANESE I,LANG 1210,JAPANESE I,4.0
Wyoming,University of Wyoming,JAPN 1010,1ST YEAR JAPANESE,LANG 1210,JAPANESE I,4.0
