School Location,School Name,School id(s),School Course(s),RPI Equiv id(s),RPI Equiv Courses(s),RPI Equiv Credits(s)
CANADA,University of Alberta,ENGL 121,LIT IN HISTORICAL PERSPECTIVES,LITR 1000,LITERATURE ELECTIVE,3.0
CANADA,University of Alberta,ENGL 124,LITERARY ANALYSIS,LITR 1000,LITERATURE ELECTIVE,3.0
CANADA,University of Alberta,ENGL 121,LIT IN HISTORICAL PERSPECTIVES,LITR 1000,LITERATURE ELECTIVE,3.0
CANADA,University of Alberta,ENGL 124,LITERARY ANALYSIS,LITR 1000,LITERATURE ELECTIVE,3.0
CHINA,Donghua University,HASS 18,INTRODUCTION OF GREEK TRAGEDY,LITR 1000,LITERATURE ELECTIVE,1.0
CHINA,East China Univ. of Sci & Tech,HAAS 03,FILM APPREC: FILM ADOPTED FROM,LITR 1000,LITERATURE ELECTIVE,2.0
CHINA,Shanghai Business School,CHIN 01,COLLEGE CHINESE,LITR 1000,LITERATURE ELECTIVE,3.0
CHINA,Shanghai Univ. of Eng.Science,LITR 1,AMER & BRIT LITR-SELECT READIN,LITR 1000,LITERATURE ELECTIVE,2.0
CHINA,Xi'an Jiaotong-Liverpool Univ.,CCT 009,INTRO TO LIT & MEDIA CULTURE,LITR 1000,LITERATURE ELECTIVE,2.0
CHINA,Zhongnan Univ of Econ & Law,CHIN 01,INTRO TO CHINESE & FOREIGN LIT,LITR 1000,LITERATURE ELECTIVE,3.0
California,Coll Redwoods,ENGL 1B,CRITICAL INQUIRY & LITERATURE,LITR 1000,LITERATURE ELECTIVE,3.0
California,Foothill Coll,VART 001,INTRO FILM STUDIES,LITR 1000,LITERATURE ELECTIVE,3.0
California,Marymount College Ca,ENG 120,INTRODUCTION TO LITERATURE,LITR 1000,LITERATURE ELECTIVE,3.0
California,Napa Valley College,ENGL 123,CRIT THINK LITERATURE,LITR 1000,LITERATURE ELECTIVE,4.0
California,Saint Mary's College,TRS 097,BIBLE AND ITS INTERPRETATION,LITR 1000,LITERATURE ELECTIVE,4.0
California,Thomas Aquinas Coll,THEO I A,THEOLOGY I: SACRED SCRIPTURE,LITR 1000,LITERATURE ELECTIVE,3.0
California,Thomas Aquinas Coll,THEO I B,THEOLOGY I: SACRED SCRIPTURE,LITR 1000,LITERATURE ELECTIVE,3.0
California,Univ Calif Berkeley,COM LIT 1A,ENGL COMP WORLD LITERATURE,LITR 1000,LITERATURE ELECTIVE,4.0
Colorado,Univ Colorado Boulder,ENGL 1500,MASTERPIECES-BRITISH LITER,LITR 1000,LITERATURE ELECTIVE,3.0
Connecticut,Fairfield University,EN 0012,INTRO TO LITERATURE,LITR 1000,LITERATURE ELECTIVE,3.0
Connecticut,Northwestern Connecticut CC,ENG 102,LITERATURE & COMPOSITION,LITR 1000,LITERATURE ELECTIVE,3.0
Connecticut,Sacred Heart Univ,ENCC 102,LIT EXPRESSION OF HUMAN JOURNE,LITR 1000,LITERATURE ELECTIVE,3.0
Connecticut,Sacred Heart Univ,ENG 201,EXPERIENCING LITERATURE,LITR 1000,LITERATURE ELECTIVE,3.0
Connecticut,Univ of Connecticut,ENGL 1101,CLASSICAL & MED. WEST LIT,LITR 1000,LITERATURE ELECTIVE,3.0
Florida,Embry-Riddle Aero Un,HU 142,STUDIES IN LITERATURE,LITR 1000,LITERATURE ELECTIVE,3.0
Florida,Univ North Florida,LIT 2000,INTRODUCTION TO LITERATURE,LITR 1000,LITERATURE ELECTIVE,3.0
Florida,Univ West Florida,LIT 2000,INTRO. TO LITERATURE,LITR 1000,LITERATURE ELECTIVE,3.0
Georgia,Morehouse College,HMUS 111,MAST OF MUSIC & MUSIC LIT,LITR 1000,LITERATURE ELECTIVE,3.0
Georgia,Univ Georgia Athens,ENGL 1103,MULTI ENGLISH COMP.,LITR 1000,LITERATURE ELECTIVE,3.0
Illinois,Univ Of Chicago,HUMA 12000,GREEK THOUGHT AND LITERATURE,LITR 1000,LITERATURE ELECTIVE,3.0
Indiana,Univ Of Notre Dame,THEO 132,BASIC CHRISTIAN ET,LITR 1000,LITERATURE ELECTIVE,3.0
Iowa,Grinnell College,ENG 120,LITERARY ANALYSIS,LITR 1000,LITERATURE ELECTIVE,4.0
Louisiana,Xavier Univ La,THEO 1120,INTRO TO BIBLICAL STUDIES,LITR 1000,LITERATURE ELECTIVE,3.0
Maine,Colby College,WP 151A,READ'G WRIT'G ABOUT LIT,LITR 1000,LITERATURE ELECTIVE,4.0
Maine,Southern Maine CC,ENG 115,INTRODUCTION TO LITERATURE,LITR 1000,LITERATURE ELECTIVE,3.0
Maryland,Loyola College,EN 130,UNDERSTANDING LITERATURE,LITR 1000,LITERATURE ELECTIVE,3.0
Massachusetts,Boston Coll,EN 081,LITERARY THEMES,LITR 1000,LITERATURE ELECTIVE,3.0
Massachusetts,Boston Coll,EN 082,LITERATURE & SOCIETY,LITR 1000,LITERATURE ELECTIVE,3.0
Massachusetts,Boston Coll,ENGL 1080,LITERATURE CORE,LITR 1000,LITERATURE ELECTIVE,3.0
Massachusetts,Clark Univ,ENG 180,MAJOR AMERICAN WRITERS I,LITR 1000,LITERATURE ELECTIVE,4.0
Massachusetts,Clark Univ,ENG 184,AMER POETRY: ORALITY & POETRY,LITR 1000,LITERATURE ELECTIVE,4.0
Massachusetts,Gordon College,BCM 101,"OLD TESTAMENT HIST, LIT, THEOL",LITR 1000,LITERATURE ELECTIVE,4.0
Massachusetts,Gordon College,BCM 103,"NEW TESTAMENT HIST, LIT, THEOL",LITR 1000,LITERATURE ELECTIVE,4.0
Massachusetts,Holyoke Cmty College,ENG 101,INTRO LANG & LITER,LITR 1000,LITERATURE ELECTIVE,3.0
Massachusetts,Holyoke Cmty College,ENG 102,LANG & LIT II,LITR 1000,LITERATURE ELECTIVE,3.0
Massachusetts,North Shore C C,CMP 104,INTRO TO LIT,LITR 1000,LITERATURE ELECTIVE,3.0
Massachusetts,Simons Rock Clg Bard,THEA 139,DIRECTOR/DESIGNER COLLABORATN,LITR 1000,LITERATURE ELECTIVE,3.0
Massachusetts,Smith College,FYS 150,SHERLOCK HOLMES & SCIENCE METH,LITR 1000,LITERATURE ELECTIVE,4.0
Massachusetts,Stonehill College,GENL 100,CRIT ENCOUNTER: LITERATURE,LITR 1000,LITERATURE ELECTIVE,3.0
Massachusetts,Stonehill College,GL 100,CRIT ENCOUNTERS-LITERATURE,LITR 1000,LITERATURE ELECTIVE,3.0
Massachusetts,Univ Mass at Amherst,AFROAM 117,SURVEY OF AFRO-AMER LIT,LITR 1000,LITERATURE ELECTIVE,4.0
Minnesota,University of Northwestern,BIB 1002,NEW TESTAMENT HISTORY AND LIT,LITR 1000,LITERATURE ELECTIVE,2.0
Minnesota,University of Northwestern,BIB 1006,O.T. HIST & LIT: LAW & HISTORY,LITR 1000,LITERATURE ELECTIVE,2.0
Minnesota,University of Northwestern,BIB 1007,O.T. HIST & LIT: POETRY/PROPH,LITR 1000,LITERATURE ELECTIVE,2.0
Missouri,Univ Missouri Columb,CL HUM 1060,CLASSICAL MYTHOLOGY,LITR 1000,LITERATURE ELECTIVE,3.0
New Jersey,Ocean Co College,ENGL 152,ENGLISH II,LITR 1000,LITERATURE ELECTIVE,3.0
New Jersey,Rowan University,ENGL 02116,HONR INTR GLOBAL LITS ENGLI,LITR 1000,LITERATURE ELECTIVE,3.0
New Jersey,St Peters College,EL 123,POETRY AND DRAMA,LITR 1000,LITERATURE ELECTIVE,3.0
New Jersey,Warren Co Cmty Coll,ENG 199,LITERATURE ON FILM,LITR 1000,LITERATURE ELECTIVE,3.0
New York,Adelphi Univ,ENG 250,THE STUDY OF LITERATURE,LITR 1000,LITERATURE ELECTIVE,3.0
New York,Bard College,LIT 103,CREATIVE WRITING,LITR 1000,LITERATURE ELECTIVE,3.0
New York,Bard College,SEM 101,FIRST YEAR SEMINAR,LITR 1000,LITERATURE ELECTIVE,3.0
New York,Coll Aeronautics,ENG 120,ENGLISH II,LITR 1000,LITERATURE ELECTIVE,3.0
New York,College of Saint Rose,ENG 134,VISUALISING MEDIEVAL LIVES,LITR 1000,LITERATURE ELECTIVE,4.0
New York,Cooper Union,HSS 1,FRESHMAN SEMINAR,LITR 1000,LITERATURE ELECTIVE,3.0
New York,Cornell University,COM L 105,THE HERO IN LITERATURE,LITR 1000,LITERATURE ELECTIVE,3.0
New York,Cornell University,ENGL 1127,FWS: SHAKESPEARE,LITR 1000,LITERATURE ELECTIVE,3.0
New York,Cornell University,ENGL 1147,MYSTERY IN THE STORY,LITR 1000,LITERATURE ELECTIVE,3.0
New York,Cornell University,ENGL 158,AM LIT & CULT: CITY IN CRISIS,LITR 1000,LITERATURE ELECTIVE,3.0
New York,Hamilton College,CPLIT 143W,LITERATURE ON TRIALS,LITR 1000,LITERATURE ELECTIVE,4.0
New York,Hamilton College,ENGL 150W,INTRO LITERARY STUDY,LITR 1000,LITERATURE ELECTIVE,4.0
New York,Hamilton College,GERMN 185,THE FAUST LEGEND,LITR 1000,LITERATURE ELECTIVE,4.0
New York,Hamilton College,LIT 123W,DAYS OF A FUTURE PAST,LITR 1000,LITERATURE ELECTIVE,4.0
New York,Herkimer Co Cmty Col,EN 112,ENGLISH II-INTRO TOLIT,LITR 1000,LITERATURE ELECTIVE,3.0
New York,Hobart and William Smith Coll.,ENG 101,LITERARY CONSCIOUSNESS,LITR 1000,LITERATURE ELECTIVE,4.0
New York,Hunter College,CLA 10100,CLASSICAL MYTHOLOGY,LITR 1000,LITERATURE ELECTIVE,3.0
New York,Hunter College,ENGL 22000,INTRODUCTION TO LIT,LITR 1000,LITERATURE ELECTIVE,3.0
New York,Hunter College,ENGL 30500,CHILDREN'S LIT,LITR 1000,LITERATURE ELECTIVE,3.0
New York,Manhattan College,ENGL 150,ROOTS: LITERATURE,LITR 1000,LITERATURE ELECTIVE,3.0
New York,Manhattan College,RELS 209,PAUL,LITR 1000,LITERATURE ELECTIVE,3.0
New York,Marist College,ENG 180L,INTRO LIT STUD.,LITR 1000,LITERATURE ELECTIVE,3.0
New York,Mohawk Valley C C,EN 102,ENGLISH 2: IDEAS & VALUES LIT,LITR 1000,LITERATURE ELECTIVE,3.0
New York,Monroe Cmty College,ENG 108,LITERATURE OF THE HOLOCAUST,LITR 1000,LITERATURE ELECTIVE,3.0
New York,Niagara University,ENG 100,INTRO TO LITERATURE,LITR 1000,LITERATURE ELECTIVE,3.0
New York,North Country C C,ENG 112,LITERATURE APPRECIATION,LITR 1000,LITERATURE ELECTIVE,3.0
New York,Orange Co Cmty Coll,11 210,AM LIT: 1865 TO PRESENT,LITR 1000,LITERATURE ELECTIVE,3.0
New York,Pratt Institute,HMS 103A 77,INTRO TO LIT/CRIT STUDIES II,LITR 1000,LITERATURE ELECTIVE,3.0
New York,Pratt Institute,HMS 103A-75,INTRO TO LIT/CRIT STUDIES II,LITR 1000,LITERATURE ELECTIVE,3.0
New York,Queens College,ENGL 170,INTRO LITERARY STUDY,LITR 1000,LITERATURE ELECTIVE,3.0
New York,Russell Sage College,EGL 148,HEALTH CAREERS THRU LITERATURE,LITR 1000,LITERATURE ELECTIVE,3.0
New York,SUNY Albany,CLC 110,GREAT IDEAS OF GREECE & ROME,LITR 1000,LITERATURE ELECTIVE,3.0
New York,SUNY Albany,CLG 101L,ELEMENTARY GREEK I,LITR 1000,LITERATURE ELECTIVE,4.0
New York,SUNY Albany,CLG 102L,ELEMENTARY GREEK II,LITR 1000,LITERATURE ELECTIVE,4.0
New York,SUNY Albany,CLG 103L,INTRO TO NEW TESTAMENT GREEK,LITR 1000,LITERATURE ELECTIVE,4.0
New York,SUNY Albany,CLG 104L,INTRO TO NEW TEST. GREEK II,LITR 1000,LITERATURE ELECTIVE,4.0
New York,SUNY Albany,EAC 172,CONCEPTS OF SELF: CHIN/RUSS WO,LITR 1000,LITERATURE ELECTIVE,3.0
New York,SUNY Albany,EAS 103L,SOURCES OF EAST ASIAN CIVIL. I,LITR 1000,LITERATURE ELECTIVE,3.0
New York,SUNY Albany,EAS 104L,SOURCES OF EAST ASIAN CIVIL II,LITR 1000,LITERATURE ELECTIVE,3.0
New York,SUNY Albany,EAS 140L,INTRO TO EAST ASIAN CINEMA,LITR 1000,LITERATURE ELECTIVE,3.0
