School Location,School Name,School id(s),School Course(s),RPI Equiv id(s),RPI Equiv Courses(s),RPI Equiv Credits(s)
BANGLADESH,American Int'l Univ.Bangledesh,MAT 3103,STATISTIC AND PROBABILITY,MATH 4600,ADVANCED CALCULUS,3.0
CANADA,McGill University,MATH 323,PROBABILITY,MATH 4600,ADVANCED CALCULUS,3.0
CANADA,McGill University,MATH&STA 265,ADVANCED CALCULUS,MATH 4600,ADVANCED CALCULUS,3.0
CANADA,McGill University,MATH 323,PROBABILITY,MATH 4600,ADVANCED CALCULUS,3.0
CANADA,McGill University,MATH&STA 265,ADVANCED CALCULUS,MATH 4600,ADVANCED CALCULUS,3.0
CHINA,Shanghai U of Finance &Econ.,"MATH 04
AND MATH 01
AND MATH 03
AND SU 9","MATHEMATICAL ANALYSIS III
AND MATHEMATICAL ANALYSIS I
AND MATHEMATICAL ANALYSIS II
AND LINEAR ALGEBRA","MATH 4200
AND MATH 4600
AND MATH 2010
AND MATH 1020
AND MATH 1010","MATHEMATICAL ANALYSIS
AND ADVANCED CALCULUS
AND MULTIVAR CALC & MATRIX ALGEBRA
AND CALCULUS II
AND CALCULUS I","3.0
AND 4.0
AND 4.0
AND 4.0
AND 4.0"
CHINA,Univ. Elec Sci & Tech of China,"MATH 18
AND MATH 10
AND MATH 11
AND MATH 12
AND MATH 6
AND MATH 8","NUMERICAL ALGEBRA
AND MATHEMATICAL ANALYSIS 2
AND LINEAR ALGEBRA 1
AND MATHEMATICAL ANALYSIS 3
AND MATHEMATICAL ANALYSIS 1
AND ANALYTIC GEOMETRY","MATH 4200
AND MATH 4090
AND MATH 4600
AND MATH 2010
AND MATH 1020
AND MATH 1010","MATHEMATICAL ANALYSIS
AND FOUNDATIONS OF ANALYSIS
AND ADVANCED CALCULUS
AND MULTIVAR CALC & MATRIX ALGEBRA
AND CALCULUS II
AND CALCULUS I","4.0
AND 4.0
AND 4.0
AND 4.0
AND 4.0
AND 4.0"
CHINA,Univ. Elec Sci & Tech of China,MATH 25,NUMERICAL ANALYSIS,MATH 4600,ADVANCED CALCULUS,3.0
Colorado,Univ Nthrn Colorado,MATH 350,ELEM PROBABILITY THEORY,MATH 4600,ADVANCED CALCULUS,4.0
Maine,Colby College,MA 302,VECTOR CALCULUS,MATH 4600,ADVANCED CALCULUS,4.0
New York,College of Saint Rose,MAT 372,INTRO TO PROBABILITY,MATH 4600,ADVANCED CALCULUS,3.0
New York,SUNY Albany,MAT 362,PROBABILITY FOR STATISTICS,MATH 4600,ADVANCED CALCULUS,3.0
New York,SUNY Albany,MAT 413,ADVANCED CALCULUS I,MATH 4600,ADVANCED CALCULUS,3.0
New York,SUNY Albany,"MAT 414
AND MAT 413","ADVANCED CALCULUS II
AND ADVANCED CALCULUS I","MATH 4000
AND MATH 4600","MATHEMATICS ELECTIVE
AND ADVANCED CALCULUS","2.0
AND 4.0"
New York,SUNY Coll Fredonia,"PHYS 426
AND PHYS 425","MATHEMATICAL PHYSICS II
AND MATHEMATICAL PHYSICS I","MATH 4000
AND MATH 4600","MATHEMATICS ELECTIVE
AND ADVANCED CALCULUS","2.0
AND 4.0"
New York,Suny Coll Tech Cnton,MATH 461,ADVANCED CALCULUS I,MATH 4600,ADVANCED CALCULUS,3.0
Pennsylvania,Lafayette College,MATH 335,PROBABILITY,MATH 4600,ADVANCED CALCULUS,4.0
UNITED KINGDOM,Lancaster University,PHYS 115,VECTOR CALCULUS,MATH 4600,ADVANCED CALCULUS,2.0
UNITED KINGDOM,University College London,MATH 2401,MATHEMATICAL METHODS 3,MATH 4600,ADVANCED CALCULUS,4.0
UNITED KINGDOM,University College London,PHAS 2246,MATHEMATICAL METHODS 3,MATH 4600,ADVANCED CALCULUS,4.0
