School Location,School Name,School id(s),School Course(s),RPI Equiv id(s),RPI Equiv Courses(s),RPI Equiv Credits(s)
CHINA,Beijing Forestry University,MATH 05,PROB THEORY & MATH STATIS B,MATP 4600,PROB THEORY & APPLICATIO,3.0
CHINA,Nankai University,MATH 6,PROBABILITY THEORY AND STATS,MATP 4600,PROB THEORY & APPLICATIO,4.0
CHINA,Northeastern Univ. of China,"MATH 10
AND MATH 3
AND MATH 6
AND MATH 8","PROBABILITY THEORY
AND ANALYTICAL GEOMETRY
AND ORDINARY DIFFERENTIAL EQUATION
AND NUMERICAL ANALYSIS I","MATH 2000
AND MATP 4600
AND MATH 4800
AND MATH 2400","MATHEMATICS ELECTIVE
AND PROB THEORY & APPLICATIO
AND NUMERICAL COMPUTING
AND INTRO DIFF EQUATIONS","2.0
AND 4.0
AND 4.0
AND 4.0"
CHINA,Univ. Elec Sci & Tech of China,MATH 17,PROBABILITY THEORY,MATP 4600,PROB THEORY & APPLICATIO,4.0
CHINA,Zhongnan Univ of Econ & Law,STAT 01,THEORY OF PROB & MATH STATISTI,MATP 4600,PROB THEORY & APPLICATIO,4.0
California,Univ California-Santa Barbara,"PSTAT 160A
AND PSTAT 120A","STOCHASTIC PROCESS
AND PROB & STATISTICS",MATP 4600,PROB THEORY & APPLICATIO,4.0
California,Univ Of San Diego,MATH 350,PROBABILITY,MATP 4600,PROB THEORY & APPLICATIO,3.0
Connecticut,Sacred Heart Univ,MA 331,PROBABILITY,MATP 4600,PROB THEORY & APPLICATIO,3.0
Maine,Colby College,MA 381,MATH STATS I: PROBABILITY,MATP 4600,PROB THEORY & APPLICATIO,4.0
Massachusetts,Boston University,MA 581,PROBABILITY,MATP 4600,PROB THEORY & APPLICATIO,4.0
New York,SUNY Albany,MAT 367,DISCRETE PROBABILITY,MATP 4600,PROB THEORY & APPLICATIO,3.0
New York,SUNY Buffalo,MTH 411,PROBABILITY THEORY,MATP 4600,PROB THEORY & APPLICATIO,4.0
New York,SUNY Coll New Paltz,64381 02,PROB & STAT I,MATP 4600,PROB THEORY & APPLICATIO,3.0
New York,SUNY Inst. of Tech Utica/Rome,MAT 370,APPLIED PROBABILITY,MATP 4600,PROB THEORY & APPLICATIO,4.0
New York,SUNY Inst. of Tech Utica/Rome,MAT 505,INTRO TO PROBABILITY,MATP 4600,PROB THEORY & APPLICATIO,3.0
New York,St Lawrence Univ,MATH 325,PROBABILITY,MATP 4600,PROB THEORY & APPLICATIO,4.0
Ohio,College Of Wooster,MATH 22900,PROBABILITY THEORY,MATP 4600,PROB THEORY & APPLICATIO,4.0
Pennsylvania,Drexel University,MATH 311,PROBABILITY & STATISTICS ii,MATP 4600,PROB THEORY & APPLICATIO,4.0
Pennsylvania,Penn State University,MATH 414,INTRO PROB THEORY,MATP 4600,PROB THEORY & APPLICATIO,3.0
UNITED KINGDOM,University College London,MATH 7501,PROBABILITY AND STATISTICS,MATP 4600,PROB THEORY & APPLICATIONS,4.0
Virginia,Univ Of Virginia,APMA 3100,APPLIED MATH: PROBABILITY,MATP 4600,PROB THEORY & APPLICATIO,3.0
Washington,University of Washington,MATH 394,PROBABILITY I,MATP 4600,PROB THEORY & APPLICATIO,3.0
