School Location,School Name,School id(s),School Course(s),RPI Equiv id(s),RPI Equiv Courses(s),RPI Equiv Credits(s)
AUSTRALIA,University of New South Wales,MARK 1012,MARKETING FUNDAMENTALS,MGMT 2430,MARKETING PRINCIPLES,4.0
CANADA,Athabasca University,MKTG 396,MARKETING,MGMT 2430,MARKETING PRINCIPLES,3.0
CANADA,Athabasca University,MKTG 396,MARKETING,MGMT 2430,MARKETING PRINCIPLES,3.0
CHINA,Central Univ. Finance & Econ.,MGMT 1,MARKETING MANAGEMENT,MGMT 2430,MARKETING PRINCIPLES,4.0
CHINA,Straits Inst. of Minjiang Univ,BUS 02,PRINCIPLES OF MARKETING,MGMT 2430,MARKETING PRINCIPLES,3.0
California,American River Coll,MKT 300,PRINCIPLES OF MARKETING,MGMT 2430,MARKETING PRINCIPLES,3.0
California,Cosumnes River Coll,MKT 300,PRINCIPLES OF MARKETING,MGMT 2430,MARKETING PRINCIPLES,3.0
Delaware,University of Delaware,BUAD 301,INTRODUCTION TO MARKETING,MGMT 2430,MARKETING PRINCIPLES,3.0
District of Columbia,The American Univers,MKTG 300,PRINCIPLES OF MARKETING,MGMT 2430,MARKETING PRINCIPLES,3.0
Iowa,Hawkeye Cmty Coll,MKT 110,PRINCIPLES OF MARKETING,MGMT 2430,MARKETING PRINCIPLES,3.0
Maryland,Washington College,BUS 111,PRINCIPLES OF MARKETING,MGMT 2430,MARKETING PRINCIPLES,4.0
Massachusetts,Babson College,SME 2011,PRIN OF MARKETING,MGMT 2430,MARKETING PRINCIPLES,3.0
Massachusetts,Bunker Hill Cmty Col,MAN 105,PRINCIPLES OF MARKETING,MGMT 2430,MARKETING PRINCIPLES,3.0
Massachusetts,Dean College,BUS 235,PRINCIPLES OF MARKETING,MGMT 2430,MARKETING PRINCIPLES,3.0
Massachusetts,Framingham State University,MRKT 181,MARKETING PRINCIPLES,MGMT 2430,MARKETING PRINCIPLES,4.0
Massachusetts,Mass Bay Cmty Coll,MK 103,PRINCIPLES OF MARKETING,MGMT 2430,MARKETING PRINCIPLES,3.0
Massachusetts,Merrimack College,BUS 2205,PRINCIPLES OF MARKETING,MGMT 2430,MARKETING PRINCIPLES,4.0
Massachusetts,Suffolk University,MKT 210H,PRINCIPLES OF MARKETING,MGMT 2430,MARKETING PRINCIPLES,3.0
Massachusetts,Westfield State University,MRKT 0231,MARKETING MANAGEMENT,MGMT 2430,MARKETING PRINCIPLES,3.0
Michigan,Davenport C Bus Gdrp,MKTG 211,MARKETING FOUNDATIONS,MGMT 2430,MARKETING PRINCIPLES,3.0
New Hampshire,Univ New Hampshire,ADMN 585,MARKETING,MGMT 2430,MARKETING PRINCIPLES,4.0
New Jersey,Mercer Co Cmty Coll,MKT 101,PRINCIPLES OF MARKETING,MGMT 2430,MARKETING PRINCIPLES,3.0
New Jersey,Montclair State Univ,MKTG 240,INTRO TO MARKETING,MGMT 2430,MARKETING PRINCIPLES,3.0
New Jersey,Rutgers Univ. New Brunswick,630 301,INTRO TO MARKETING,MGMT 2430,MARKETING PRINCIPLES,3.0
New York,Bryant Stratton Bus,BUSS 110,MARKETING PRINCIPLES,MGMT 2430,MARKETING PRINCIPLES,3.0
New York,College of Saint Rose,BUS 253,PRINICPLES OF MARKETING,MGMT 2430,MARKETING PRINCIPLES,3.0
New York,Columbia-Greene C C,MK 101,PRINCIPLES OF MARKETING,MGMT 2430,MARKETING PRINCIPLES,3.0
New York,Hofstra University,MKT 101,PRINCIPLES OF MARKETING,MGMT 2430,MARKETING PRINCIPLES,3.0
New York,Hudson Vly Cmty Coll,MKTG 120,PRINCIPLES OF MARKETING,MGMT 2430,MARKETING PRINCIPLES,3.0
New York,Keuka College,MKT 220,PRIN OF MARKETING,MGMT 2430,MARKETING PRINCIPLES,3.0
New York,Long Island University Post,MKT 11,MKT PRIN & PRACTICES,MGMT 2430,MARKETING PRINCIPLES,3.0
New York,Manhattan College,MKTG 201,ESSENTIAL OF MKTG,MGMT 2430,MARKETING PRINCIPLES,3.0
New York,Molloy College,BUS 330,PRINCIPLES OF MARKETING,MGMT 2430,MARKETING PRINCIPLES,3.0
New York,New York City Tech C,MKT 1100,ESSENTIALS OF MKTG,MGMT 2430,MARKETING PRINCIPLES,3.0
New York,New York City Tech C,MKT 1210,MARKETING RESEARCH,MGMT 2430,MARKETING PRINCIPLES,1.0
New York,New York City Tech C,"MKT 1210
AND MKT 1100","MARKETING RESEARCH
AND ESSENTIALS OF MKTG",MGMT 2430,MARKETING PRINCIPLES,4.0
New York,Orange Co Cmty Coll,55 122,MARKETING,MGMT 2430,MARKETING PRINCIPLES,3.0
New York,Orange Co Cmty Coll,MKT 101,PRINCIPLES OF MARKETING,MGMT 2430,MARKETING PRINCIPLES,3.0
New York,Rockland Cmty Coll,MKT 201,MARKETING,MGMT 2430,MARKETING PRINCIPLES,3.0
New York,SUNY Albany,BMKT 310,MARKETING PRINCIPLES,MGMT 2430,MARKETING PRINCIPLES,3.0
New York,SUNY Coll New Paltz,BUS 325,MARKETING,MGMT 2430,MARKETING PRINCIPLES,3.0
New York,SUNY Farmingdale State,BUS 131,MARKETING PRINCIPLES,MGMT 2430,MARKETING PRINCIPLES,3.0
New York,SUNY at Stony Brook,BUS 348,PRINCIPLES OF MARKETING,MGMT 2430,MARKETING PRINCIPLES,3.0
New York,Siena College,MRKT 212,MARKETING,MGMT 2430,MARKETING PRINCIPLES,3.0
New York,Suffolk Co Cc Ammrmn,MKT 101,MARKETING,MGMT 2430,MARKETING PRINCIPLES,3.0
North Carolina,Durham Tech Cmty Col,MKT 120,PRINCIPLES OF MARKETING,MGMT 2430,MARKETING PRINCIPLES,3.0
North Carolina,Wake Technical Coll,MKT 120,PRINCIPLES OF MARKETING,MGMT 2430,MARKETING PRINCIPLES,3.0
Ohio,Miami Univ Oxford,MKT 291,PRINCIPLES OF MARKETING,MGMT 2430,MARKETING PRINCIPLES,3.0
