School Location,School Name,School id(s),School Course(s),RPI Equiv id(s),RPI Equiv Courses(s),RPI Equiv Credits(s)
AUSTRALIA,University of Sydney,CHEM 2402,CHEMICAL STRCT & STABILITY,,,
AUSTRALIA,University of Sydney,CHNG 2804,CHEMICAL & BIOLOG. SYS. BEHAV,,,
AUSTRALIA,University of Sydney,CHNG 2805,INDUST. SYS. & SUSTAINABILITY,,,
AUSTRALIA,University of Sydney,CHNG 2806,MATLS PURIFICATION & RECOVERY,,,
AUSTRALIA,University of Sydney,COMP 2022,"PROGRAMMING LANGUAGES, LOG & M",,,
AUSTRALIA,University of Sydney,COMP 2123,DATA STRUCTURES AND ALGORITHMS,,,
AUSTRALIA,University of Sydney,MATH 1064,DISCRETE MATHEMATICS FOR COMPU,,,
AUSTRALIA,University of Sydney,SOFT 2412,AGILE SOFTWARE DEVELOPMENT PRA,,,
AUSTRALIA,Victoria University,AHS 0144,THEORY & APPL OF ROCK CLIMBING,,,
Alabama,Auburn University,MATH 1610,CALCULUS I,,,
Alabama,Auburn University,MATH 1620,CALCULUS II,,,
Alabama,Auburn University,MATH 2650,LINERAR DIFFERENTIAL EQUATIONS,,,
Alabama,Auburn University,PHYS 2200,INTRO QUANTUM PHYS. RELATIVITY,,,
Alabama,Cmty Coll Air Force,COM 2734,SATCOM OPERATION,,,
Alabama,Cmty Coll Air Force,COM 2736,INTRODUCTION TO DSS,,,
Alabama,Cmty Coll Air Force,EDP 1130,INTRO TO SYSTEM SOFTWARE,,,
Alabama,Cmty Coll Air Force,EDP 1132,COMPUTER SYSTEMS FAM,,,
Alabama,Cmty Coll Air Force,EDP 1136,MICROCOMPUTER SOFTWARE APPL,,,
Alabama,Cmty Coll Air Force,EDP 2183,ADV. COMPUTER NETWORKING,,,
Alabama,Cmty Coll Air Force,ELT 1211,BASIC ELECTRICONIC CIRCUITS,,,
Alabama,Cmty Coll Air Force,ELT 1219,ELECTRIC CRYPTO SYS MAINT DEP,,,
Alabama,Cmty Coll Air Force,INT 5000,JOURNEYMAN,,,
Alabama,Cmty Coll Air Force,INT 7000,CRAFTSMAN,,,
Alabama,Cmty Coll Air Force,ITL 1101,INTELLIGENCE FUNDAMENTALS,,,
Alabama,Cmty Coll Air Force,ITL 1102,ANALYSIS AND REPORTING,,,
Alabama,Cmty Coll Air Force,ITL 1503,PHOTOGRAPHIC INTERP I,,,
Alabama,Cmty Coll Air Force,ITL 1507,PHOTOGRAPHIC INTERP II,,,
Alabama,Cmty Coll Air Force,ITL 2504,MULTISENSOR ANALYSIS,,,
Alabama,Cmty Coll Air Force,ITL 2506,EXPLOITATION SUPPORT DATA,,,
Alabama,Cmty Coll Air Force,LMM 2121,LEADERSHIP/MANAGEMENT II,,,
Alabama,Cmty Coll Air Force,MED 1303,ANATOMY & PHYSIOLOGY,,,
Alabama,Cmty Coll Air Force,MRD 1300,BASIC MEDICAL READINESS,,,
Alabama,Cmty Coll Air Force,NUR 1308,SPECIALIZED PT CARE I,,,
Alabama,Cmty Coll Air Force,TRN 1602,MOVEMENT OF HHG,,,
Alabama,Cmty Coll Air Force,TRN 1604,PASSENGER MANAGEMENT,,,
Alabama,Cmty Coll Air Force,TRN 1618,SFC TRNSP DANGEROUS MATL,,,
Alabama,Cmty Coll Air Force,TRN 1619,CARGO PREPAREATION,,,
Alabama,Cmty Coll Air Force,TRN 1620,ALFT OF DANGEROUS MTL,,,
Alabama,Cmty Coll Air Force,TRN 1631,TRAFFIC MANAGEMENT,,,
Alabama,Cmty Coll Air Force,TRN 1644,SHIPMENT PLANNING,,,
Alabama,Cmty Coll Air Force,TRN 1645,SHIPPING & RECEIVING PROC,,,
Alabama,Troy University,CS 2255,COMPUTER SCIENCE II,,,
Alabama,Troy University,CS 3310,FOUNDATIONS COMPUTER SCIENCE,,,
Alabama,Troy University,CS 3320,BUSINESS SYSTEMS PROGRAMMING,,,
Alabama,Troy University,CS 3323,DATA STRUCTURES,,,
Alabama,Troy University,CS 3332,SOFTWARE ENGINEERING I,,,
Alabama,Troy University,CS 3360,CONCEPTS OF OBJ PROGRAM I,,,
Alabama,Troy University,CS 4420,INTRO TO DATABASE SYST,,,
Alabama,Troy University,CS 4445,DATA COMMUNICATION & NETW,,,
Alabama,Troy University,IDS 2200,CROSSROADS: SPH SEMINAR,,,
Alabama,Troy University,MTH 2215,APPLIED DISCRETE MATHEMATICS,,,
Alabama,Troy University,SCI 2233,PHYSICAL SCIENCE,,,
Alabama,Troy University,SCI L233,PHYSICAL SCIENCE LAB,,,
Alabama,Troy University,STAT 2210,INTRODUCTORY STATISTICS,,,
Alabama,Troy University,TROY 1101,UNIVERSITY ORIENTATION,,,
Alabama,Univ Alabama Tuscaloosa,CA 121,THE DISCIPLINE OF COMPUTING,,,
Alabama,Univ Alabama Tuscaloosa,CS 121,THE DISCIPLINE OF COMPUTING,,,
Alabama,Univ Alabama Tuscaloosa,EN 120,ENGLISH COMP I-FOR NON-NATIVE,,,
Alabama,Univ Alabama Tuscaloosa,EN 121,ENGLISH COMP II-NON-NATIVE,,,
Alabama,Univ Alabama Tuscaloosa,GY 110,"PEOPLE, PLACES & ENVIRONMENT",,,
Alabama,Univ Alabama Tuscaloosa,MATH 112,PRECALCULUS ALGEBRA,,,
Alabama,Univ Alabama Tuscaloosa,MATH 113,PRECALCULUS TRIGONOMETRY,,,
Alabama,Univ. of North Alabama,BI 101,INTRODUCTORY BIOLOGY,,,
Alabama,Univ. of North Alabama,BI 441,BIOLOGICAL CHEMISTRY,,,
