School Location,School Name,School id(s),School Course(s),RPI Equiv id(s),RPI Equiv Courses(s),RPI Equiv Credits(s)
AUSTRALIA,University of Sydney,DATA 1001,FOUNDATIONS OF DATA SCIENCE,,,
AUSTRALIA,University of Sydney,INFO 1111,COMPUTING 1A PROFESSIONALISM,,,
AUSTRALIA,University of Sydney,INFO 1112,COMPUTING IB OS & NETWORK PLAT,,,
AUSTRALIA,University of Sydney,ISYS 2120,DATA & INFORMATION MANAGEMENT,,,
AUSTRALIA,Victoria University,ENE 2101,FUND. OF ELEC & ELECTRONIC CIR,,,
Alabama,Auburn University,ELEC 2110,ELECTRIC CIRCUIT ANALYSIS,,,
Alabama,Auburn University,ENGR 1100,ENGINEERING ORIENTATION,,,
Alabama,Auburn University,GLOB 0410,EAP II: ORAL PROF,,,
Alabama,Auburn University,GLOB 0420,ADVANCED ORAL PROFICIENCY,,,
Alabama,Auburn University,GLOB 0450,ACADEMIC WRITING PROFICIENCY,,,
Alabama,Auburn University,GLOB 1010,PERFORMANCE AND EXPECTATIONS,,,
Alabama,Auburn University,GLOB 1020,UNIVERSITY TO PROFESSION,,,
Alabama,Auburn University,GLOB 1100,ADVANCED WRITING PROFICIENCY,,,
Alabama,Cmty Coll Air Force,AAS 1200,AUTOMATIC GUNS,,,
Alabama,Cmty Coll Air Force,AAS 1201,ACFT ARMAMENT SYS MAINT,,,
Alabama,Cmty Coll Air Force,AAS 1202,ACFT MUN LOAD/UNLOAD LAB,,,
Alabama,Cmty Coll Air Force,AAS 1203,AGE HANDLING SUPP/MAINT,,,
Alabama,Cmty Coll Air Force,AAS 1204,ACFT ARM LAUNCH/EJECT SYS,,,
Alabama,Cmty Coll Air Force,AAS 2201,ADV ACFT ARM SYST MAINT LAB,,,
Alabama,Cmty Coll Air Force,CMR 1740,COMPUTER/CENTRAL PROC,,,
Alabama,Cmty Coll Air Force,CMR 1741,PERIFPHERAL EQUIPMENT,,,
Alabama,Cmty Coll Air Force,CMR 1746,COMPUTER MAINTENANCE,,,
Alabama,Cmty Coll Air Force,CMR 2101,AUTOMATED SYS OPERATIONS,,,
Alabama,Cmty Coll Air Force,CMR 2102,AUTOMATED SYS MAINTENANCE,,,
Alabama,Cmty Coll Air Force,COM 2739,COMM NETWORK EVAL,,,
Alabama,Cmty Coll Air Force,DPO 1102,DISASTER PREPAREDNESS,,,
Alabama,Cmty Coll Air Force,EDP 1138,INFORMATION MGMT SYSTEMS,,,
Alabama,Cmty Coll Air Force,EDP 2201,COMP SYSTEM ADMINISTRATOR,,,
Alabama,Cmty Coll Air Force,EL5 1106,INTRO/DIGITAL ELECTRONICS,,,
Alabama,Cmty Coll Air Force,ELT 1023,SOLID STATE PRINCIPLES,,,
Alabama,Cmty Coll Air Force,ELT 1101,ELECTRIC MOTOR PRINCIPLES,,,
Alabama,Cmty Coll Air Force,ELT 1105,GEN. MAINTENANCE TNG.,,,
Alabama,Cmty Coll Air Force,ELT 1106,INTRO/DIGITAL ELECTRONICS,,,
Alabama,Cmty Coll Air Force,ELT 1107,BASIC SOLDERING CONNECT,,,
Alabama,Cmty Coll Air Force,ELT 1203,SOLID STATE PRINCIPLES,,,
Alabama,Cmty Coll Air Force,ELT 1210,BASIC ELEC. PRINC/CKTS,,,
Alabama,Cmty Coll Air Force,ELT 1223,CRYPTO SYSTEMS/DEVICES,,,
Alabama,Cmty Coll Air Force,ELT 1259,INTRO TO ELECTRONICS,,,
Alabama,Cmty Coll Air Force,ELT 1544,SECURITY/INTRU. DETECTIONS,,,
Alabama,Cmty Coll Air Force,ELT 1701,AC CIRCUITS,,,
Alabama,Cmty Coll Air Force,ELT 1702,DC CIRCUITS,,,
Alabama,Cmty Coll Air Force,ELT 1712,BASIC SOLID-STATE THEORY,,,
Alabama,Cmty Coll Air Force,ELT 1713,TRANS/RECVR SYSTEMS,,,
Alabama,Cmty Coll Air Force,ELT 1714,SOLID STATE APPLICATIONS,,,
Alabama,Cmty Coll Air Force,ELT 1731,SURVEILLANCE IND SYSTEMS,,,
Alabama,Cmty Coll Air Force,ELT 1772,WAVE GENERATION/SHAPING,,,
Alabama,Cmty Coll Air Force,ELT 5802,INTEG CKT ANALY,,,
Alabama,Cmty Coll Air Force,LMM 1101,LEADERSHIP AND MANAGEMENT,,,
Alabama,Cmty Coll Air Force,LMM 1102,MANAGERIAL COMMUNICATIONS,,,
Alabama,Cmty Coll Air Force,LMM 1103,MILITARY STUDIES,,,
Alabama,Cmty Coll Air Force,LMM 2122,MANAGERIAL COMM II,,,
Alabama,Cmty Coll Air Force,LMM 2123,MILITARY STUDIES,,,
