School Location,School Name,School id(s),School Course(s),RPI Equiv id(s),RPI Equiv Courses(s),RPI Equiv Credits(s)
CANADA,McGill University,RELG 207,STUDY OF WORLD RELIGIONS I,PHIL 2830,COMPARATIVE RELIGION,3.0
CANADA,McGill University,RELG 207,STUDY OF WORLD RELIGIONS I,PHIL 2830,COMPARATIVE RELIGION,3.0
California,Foothill Coll,PHIL 024,COMP WORLD RELIGIONS EAST,PHIL 2830,COMPARATIVE RELIGION,4.0
California,San Frncsco State Un,PHIL 502,WORLD RELIGIONS,PHIL 2830,COMPARATIVE RELIGION,3.0
California,Thomas Aquinas Coll,"THEO 2 B
AND THEO 2 A","THEOLOGY II: PATRISTIC THEOLOG
AND THEOLOGY II: PATRISTIC THEOLOG","PHIL 2830
AND PHIL 2000","INTR TO PHILOSOPHY OF RELIGION
AND PHILOSOPHY ELECTIVE","4.0
AND 2.0"
Colorado,Regis University,RC 220A,WORLD RELIGIOUS TRADITIONS,PHIL 2830,COMPARATIVE RELIGION,3.0
Georgia,Morehouse College,HREL 201,INTRODUCTION TO RELIGION,PHIL 2830,INTR TO PHILOSOPHY OF RELIGION,3.0
Massachusetts,Berkshire Cmty Coll,HIS 225,COMPARATIVE RELIGIONS,PHIL 2830,COMPARATIVE RELIGION,3.0
New Mexico,Univ Of New Mexico,RELIG 107,WORLD RELIGIONS,PHIL 2830,COMPARATIVE RELIGION,3.0
New York,Adirondack Cmty Coll,PHI 204,COMPARATIVE RELIGION,PHIL 2830,COMPARATIVE RELIGION,3.0
New York,Hudson Vly Cmty Coll,"PHIL 111
AND PHIL 110","COMPARATIVE RELIGION II
AND COMPARATIVE RELIGION I","PHIL 2830
AND PHIL 2000","COMPARATIVE RELIGION
AND PHILOSOPHY ELECTIVE","3.0
AND 3.0"
New York,Monroe Cmty College,PHL 108,WORLD RELIGION:WESTERN TRAD,PHIL 2830,INTR TO PHILOSOPHY OF RELIGION,3.0
New York,Russell Sage College,PHI 105,PHILOSOPHY OF RELIGION,PHIL 2830,COMPARATIVE RELIGION,3.0
New York,SUNY Oneonta,INTD 115,SURVEY OF WORLD RELIGIONS,PHIL 2830,COMPARATIVE RELIGION,3.0
New York,St John Fisher Coll,REST 152D,WORLD RELIGIONS,PHIL 2830,COMPARATIVE RELIGION,3.0
New York,Suny Purchase,AHU 3110,WORLD RELIGIONS,PHIL 2830,INTR TO PHILOSOPHY OF RELIGION,4.0
Texas,Centrl Texas Coll,PHIL 1304,INTRO TO WORLD RELIGIONS,PHIL 2830,COMPARATIVE RELIGION,3.0
