School Location,School Name,School id(s),School Course(s),RPI Equiv id(s),RPI Equiv Courses(s),RPI Equiv Credits(s)
California,Univ Calif Davis,PSYCH 041,RESEARCH METH IN PSYCH,PSYC 2310,RESEARCH METHODS & STATS I,4.0
Minnesota,University of Northwestern,PSY 3305,RESEARCH METHODS IN PSYCHOLOGY,PSYC 2310,RESEARCH METHODS & STATS I,4.0
New Jersey,Montclair State Univ,PSYC 220,INTRO TO STAT METHODS IN PSYCH,PSYC 2310,RESEARCH METHODS & STATS I,4.0
New Mexico,Univ Of New Mexico,PSYCH 200,STAT PRINCIPLES,PSYC 2310,EXPER METHODS & STATS,3.0
New York,SUNY Albany,PSY 210,STATISTICAL METHODS IN PSYCH,PSYC 2310,EXPER METHODS & STATS,3.0
New York,SUNY Albany,RPAD 316,METHOD TOOLS FOR PUB POLICY,PSYC 2310,RESEARCH METHODS & STATS I,3.0
New York,Skidmore College,PS 202,RESEARCH METH IN PSYCH I,PSYC 2310,RESEARCH METHODS & STATS I,4.0
New York,Union College NY,SOC 300,QUANTITATIVE SOCIAL RESEARCH,PSYC 2310,EXPER METHODS & STATS,3.0
Pennsylvania,Bucks Co Cmty Coll,PSYC 215,INTRODUCTION PSYCH STATISTICS,PSYC 2310,RESEARCH METHODS & STATS I,4.0
South Carolina,Univ South Carolina,PSYC 226,RESEARCH METHODS IN PSYCH,PSYC 2310,RESEARCH METHODS & STATS I,3.0
