School Location,School Name,School id(s),School Course(s),RPI Equiv id(s),RPI Equiv Courses(s),RPI Equiv Credits(s)
CHINA,China Foreign Affairs Univ.,HIST 01,AMERICAN HISTORY OVERVIEW,STSH 2500,AMERICAN HISTORY,2.0
California,Diablo Valley Coll,HIST 120,HISTORY OF THE US BEFORE 1865,STSH 2500,AMERICAN HISTORY,3.0
Connecticut,Middlesex Cmty-Tech,HIS F202,US HISTORY II--HONORS,STSH 2500,AMERICAN HISTORY,3.0
Georgia,Clark Atlanta Univ,CHIS 211,HISTORY OF THE UNITED STATES,STSH 2500,AMERICAN HISTORY,3.0
Georgia,Georgia St Univ,HIST 2110,SURVEY OF US HISTORY,STSH 2500,AMERICAN HISTORY,3.0
Idaho,Brigham Young Univ-BYU-Idaho,FDAMF 101,AMERICAN FOUNDATIONS,STSH 2500,AMERICAN HISTORY,3.0
Kansas,Labette Cmty College,HIST 101,AMERICAN HISTORY TO 1877,STSH 2500,AMERICAN HISTORY,3.0
New York,Broome Cmty Coll,HIS 131,UNITED STATES HISTORY II,STSH 2500,AMERICAN HISTORY,3.0
New York,Rockland Cmty Coll,HIS 201,AMERICAN HISTORY I,STSH 2500,AMERICAN HISTORY,3.0
New York,SUNY Geneseo,"HIST 203
AND HIST 204","U.S. HISTORY 1
AND U.S. HISTORY 2","STSH 2000
AND STSH 2500","SCI & TECH STUDIES ELECTIVE
AND AMERICAN HISTORY",4.0
New York,SUNY Oneonta,HIST 144,U.S. HISTORY I,STSH 2500,AMERICAN HISTORY,3.0
New York,SUNY Oneonta,HIST 145,U.S. HISTORY II,STSH 2500,AMERICAN HISTORY,3.0
New York,US Military Academy,HI 155,ADVANCED HISTORY OF THE US,STSH 2500,AMERICAN HISTORY,3.0
New York,Westchester Cmty Col,HIS 110,US HISTORY COLONIAL TO 1800,STSH 2500,AMERICAN HISTORY,3.0
North Dakota,Un N Dakota Grnd Frk,"HIST 104
AND HIST 103","UNITED STATES SINCE 1877
AND UNITED STATES TO 1877","STSH 2000
AND STSH 2500","SCI & TECH STUDIES ELECTIVE
AND AMERICAN HISTORY","2.0
AND 4.0"
Pennsylvania,Robert Morris Col Pa,HIST 1100,UNITED STATES HISTORY I,STSH 2500,AMERICAN HISTORY,3.0
Pennsylvania,Univ Pittsburgh Pitts,HIST 0107,US HISTORY 2,STSH 2500,AMERICAN HISTORY,3.0
Virginia,Northern Virginia CC Annandale,HIS 121,U.S. HISTORY I,STSH 2500,AMERICAN HISTORY,3.0
