School Location,School Name,School id(s),School Course(s),RPI Equiv id(s),RPI Equiv Courses(s),RPI Equiv Credits(s)
Massachusetts,Holyoke Cmty College,SOC 110,INTRO TO SOCIOLOGY,STSO 2520,SOCIOLOGY,3.0
Massachusetts,Univ Mass Boston,SOCIOL 101,INTRODUCTIONTO SOCIOLOGY,STSO 2520,SOCIOLOGY,3.0
Michigan,Davenport C Bus Gdrp,SOCY 101,INTRODUCTORY SOCIOLOGY,STSO 2520,SOCIOLOGY,3.0
Minnesota,Anoka-Ramsey C C,SOSC 1010,INTRO TO PSYCHOLOGY,STSO 2520,SOCIOLOGY,3.0
New Jersey,Brookdale Cmty Coll,SOCI 101,PRINCIPLES OF SOCIOLOGY,STSO 2520,SOCIOLOGY,3.0
New York,Adirondack Cmty Coll,SOC 101,PRINCIPLES OF SOCIOLOGY,STSO 2520,SOCIOLOGY,3.0
New York,Borough Manhattn C C,SOC 100,INTRO TO SOCIOLOGY,STSO 2520,SOCIOLOGY,3.0
New York,Corning Cmty Coll,SOCI 1010,INTRODUCTION TO SOCIOLOGY,STSO 2520,SOCIOLOGY,3.0
New York,Hudson Vly Cmty Coll,SOCL 100,SOCIOLOGY,STSO 2520,SOCIOLOGY,3.0
New York,Orange Co Cmty Coll,SOC 101,INTRO TO SOCIOLOGY,STSO 2520,SOCIOLOGY,3.0
New York,SUNY Albany,SOC 115,INTRO TO SOCIOLOGY,STSO 2520,SOCIOLOGY,3.0
New York,SUNY Clg Ag Tech Cob,SOSC 111,INTRODUCTIO TO SOCIOLOGY,STSO 2520,SOCIOLOGY,3.0
New York,Skidmore College,SO 101,SOCIOLOGICAL PERSPECTIVES,STSO 2520,SOCIOLOGY,3.0
New York,Syracuse University,SOC 101,INTRO TO SOCIOLOGY,STSO 2520,SOCIOLOGY,3.0
Washington,Pierce College,SOC& 101,INTRODUCTION TO SOCIOLOGY,STSO 2520,SOCIOLOGY,4.0
