School Location,School Name,School id(s),School Course(s),RPI Equiv id(s),RPI Equiv Courses(s),RPI Equiv Credits(s)
AUSTRALIA,University of New South Wales,ATSI 1011,INDIGENOUS AUSTRALIA,STSS 1000,SCIENCE & TECHNOLOGY ELECTIVE,4.0
AUSTRALIA,University of New South Wales,COMM 1000,CREATING SOC. CHG:FROM INNOV,STSS 1000,SCI & TECH STUDIES ELECTIVE,4.0
Alabama,Auburn University,GEOG 1010,GLOBAL GEOGRAPHY,STSS 1000,SCI & TECH STUDIES ELECTIVE,3.0
Alabama,Troy University,GEO 2210,WORLD REGIONAL GEOGRAPHY,STSS 1000,SCI & TECH STUDIES ELECTIVE,3.0
Alabama,Univ. of North Alabama,HI 102,SURV OF WESTERN CIV SINCE 1700,STSS 1000,SCIENCE & TECHNOLOGY ELECTIVE,3.0
Arizona,Northern Arizona Univ,ANT 102,EXPLORING CULTURES,STSS 1000,SCI & TECH STUDIES ELECTIVE,3.0
Arizona,Northern Arizona Univ,ANT 103,CULTURE IN COMMUNICATION,STSS 1000,SCIENCE & TECHNOLOGY ELECTIVE,3.0
Arizona,University of Arizona,ANTH 150B1,MANY WAYS OF BEING HUMAN,STSS 1000,SCI & TECH STUDIES ELECTIVE,3.0
Arizona,University of Arizona,INDV 102,SOCIAL INTER - BUS IN MOD SOC,STSS 1000,SCI & TECH STUDIES ELECTIVE,3.0
Arizona,University of Arizona,TRAD 101,NON-WESTERN CUL AND CIVILIZ,STSS 1000,SCIENCE & TECHNOLOGY ELECTIVE,3.0
Arizona,University of Arizona,TRAD 104,TOPICS IN CULTURE - JUSTICE,STSS 1000,SCI & TECH STUDIES ELECTIVE,3.0
BRAZIL,Universidade Fed. de Pernam.,CS 100,SOCIOLOGY AND THE ENVIRONMENT,STSS 1000,SCI & TECH STUDIES ELECTIVE,2.0
CANADA,Athabasca University,CLST 201,CLST AND EVERYDAY LIFE,STSS 1000,SCI & TECH STUDIES ELECTIVE,3.0
CANADA,Athabasca University,CLST 201,CLST AND EVERYDAY LIFE,STSS 1000,SCI & TECH STUDIES ELECTIVE,3.0
CANADA,University of Alberta,HGP 100,INTRO HUMAN GEOGRAPHY/PLANNING,STSS 1000,SCI & TECH STUDIES ELECTIVE,3.0
CANADA,University of Alberta,HGP 100,INTRO HUMAN GEOGRAPHY/PLANNING,STSS 1000,SCI & TECH STUDIES ELECTIVE,3.0
CHINA,Beijing City University,HUMN 1,ETHICS AND LAW,STSS 1000,SCIENCE & TECHNOLOGY ELECTIVE,2.0
CHINA,Central Univ. Finance & Econ.,SOCI 1,SOCIOLOGY,STSS 1000,SCI & TECH STUDIES ELECTIVE,3.0
CHINA,China Agricultural University,HASS 6,DIALECTIC OF NATURE,STSS 1000,SCIENCE & TECHNOLOGY ELECTIVE,2.0
CHINA,China Univ. Political Sci &Law,HUMN 12,"MAO ZEDONG IDEOLOGY, DENG",STSS 1000,SCIENCE & TECHNOLOGY ELECTIVE,3.0
CHINA,China Univ. Political Sci &Law,PSYC 1,PSYCHOLOGY AND LIFE,STSS 1000,SCIENCE & TECHNOLOGY ELECTIVE,3.0
CHINA,Chinese Univ. of Hong Kong,GPAD 1070,GOVERNMENT & POLITICS OF CHINA,STSS 1000,SCIENCE & TECHNOLOGY ELECTIVE,3.0
CHINA,Chinese Univ. of Hong Kong,UGEC 1540,GOVERNMENT & POLITICS OF CHINA,STSS 1000,SCIENCE & TECHNOLOGY ELECTIVE,3.0
CHINA,Dalian Univ. of Tech.,HUM 1,CULT OF IDEOLOGY/MORAL/LAW,STSS 1000,SCIENCE & TECHNOLOGY ELECTIVE,2.0
CHINA,Dalian Univ. of Tech.,HUM 2,INTRO CHINESE/WESTER CULTURE,STSS 1000,SCIENCE & TECHNOLOGY ELECTIVE,2.0
CHINA,Dalian Univ. of Tech.,SOC 1,SOCIOLOGY,STSS 1000,SCIENCE & TECHNOLOGY ELECTIVE,2.0
CHINA,Dalian Univ. of Tech.,SOCL 1,SOCIOLOGY,STSS 1000,SCI & TECH STUDIES ELECTIVE,2.0
CHINA,Donghua University,HUM 1,"IDEOL, MORAL. CULT & KNOW LAW",STSS 1000,SCI & TECH STUDIES ELECTIVE,3.0
CHINA,Guangdong Univ. of Finance,HASS 2,PRIN OF POLITICAL ECONOMY,STSS 1000,SCI & TECH STUDIES ELECTIVE,2.0
CHINA,Guangdong University of Tech.,HASS 3,CHRISTIAN AND EURO. CIVILIZATI,STSS 1000,SCIENCE & TECHNOLOGY ELECTIVE,2.0
CHINA,Guilin Univ. of Technology,HASS 3,OUTLINE OF CHINESE MOD HISTORY,STSS 1000,SCIENCE & TECHNOLOGY ELECTIVE,2.0
CHINA,Nanjing Univ. of Sci. & Tech.,HASS 1,IDE MORAL CULT & THE LEGAL BAS,STSS 1000,SCI & TECH STUDIES ELECTIVE,3.0
CHINA,Ocean University of China,HASS 5,BASIC PRINCIPLES OF MARXISM,STSS 1000,SCI & TECH STUDIES ELECTIVE,3.0
CHINA,Shanghai Ocean University,HASS 2,BASIC PRINCIPLE OF MARXISM,STSS 1000,SCI & TECH STUDIES ELECTIVE,3.0
CHINA,Southeast Univ. of China,HASS 2,ETHICS CULTIVATION & LAW,STSS 1000,SCIENCE & TECHNOLOGY ELECTIVE,3.0
CHINA,Southeast Univ. of China,HASS 7,BASIC PRINCIPLES OF MARXISM,STSS 1000,SCI & TECH STUDIES ELECTIVE,3.0
CHINA,University of Macau,GEGA 019,GLOBAL PUBLIC HEALTH,STSS 1000,SCI & TECH STUDIES ELECTIVE,3.0
CHINA,Xiamen University,HIST 3,WESTERN CIVILIZATION,STSS 1000,SCIENCE & TECHNOLOGY ELECTIVE,2.0
CHINA,Xiamen University,HIST 5,WESTERN CIVILIZATION,STSS 1000,SCIENCE & TECHNOLOGY ELECTIVE,1.0
CHINA,Zhejiang Gongshang Univ.,HUM 7,URBAN SOCIOLOGY,STSS 1000,SCI & TECH STUDIES ELECTIVE,1.0
CHINA,Zhongnan Univ of Econ & Law,LAW 01,PRINCIPLES OF LAW,STSS 1000,SCI & TECH STUDIES ELECTIVE,2.0
California,Cabrillo Coll,ANTHR 1,INTRO ANTHROPOLOGY: PHYSC 1,STSS 1000,SCIENCE & TECHNOLOGY ELECTIVE,3.0
California,Cabrillo Coll,HIST 4A,SURVEY OF WESTERN CIVIL,STSS 1000,SCIENCE & TECHNOLOGY ELECTIVE,3.0
California,Cabrillo Coll,HIST 4B,SURVEY WESTERN CIVIL,STSS 1000,SCIENCE & TECHNOLOGY ELECTIVE,3.0
California,Cabrillo Coll,HS 15,HUMAN SEXUALITY,STSS 1000,SCIENCE & TECHNOLOGY ELECTIVE,3.0
California,Cal St San Luis Obispo,POLS 111,CALIF CONSTITUTION/GOVERNMENT,STSS 1000,SCI & TECH STUDIES ELECTIVE,1.0
California,City Coll San Frnsco,POLS 1,AMERICAN GOVERNMENT,STSS 1000,SCIENCE & TECHNOLOGY ELECTIVE,3.0
California,Claremont Mckenna,GOVT 020,INTRO AMERICAN POLITICS,STSS 1000,SCIENCE & TECHNOLOGY ELECTIVE,4.0
California,Coll Marin,ANTH 101,INTRO TO PHYS/BIOL ANTHRO,STSS 1000,SCIENCE & TECHNOLOGY ELECTIVE,3.0
California,Colleg of the  Canyons,ANTHRO 101,PHYSICAL ANTHROPOLOGY,STSS 1000,SCI & TECH STUDIES ELECTIVE,3.0
California,Colleg of the  Canyons,ANTHRO 103,CULTURAL ANTHROPOLOGY,STSS 1000,SCI & TECH STUDIES ELECTIVE,3.0
California,Colleg of the  Canyons,POLISC 150,INTRO AMER GOVT/POLITICS,STSS 1000,SCI & TECH STUDIES ELECTIVE,3.0
California,De Anza College,ANTH 001,PHS ANTHRO,STSS 1000,SCIENCE & TECHNOLOGY ELECTIVE,4.0
California,Diablo Valley Coll,SOCSC 110,THE AMERICAN SOCIAL EXPERIENCE,STSS 1000,SCI & TECH STUDIES ELECTIVE,3.0
California,East Los Angeles Col,HISTORY 001,INT TO WEST CIVIL 1,STSS 1000,SCIENCE & TECHNOLOGY ELECTIVE,3.0
California,Foothill Coll,ANTH 001,INTRO TO PHYSICAL ANTHRO,STSS 1000,SCIENCE & TECHNOLOGY ELECTIVE,3.0
California,Grossmont Cmty Coll,POSC 121,INTRO TO US GOVT AND POLITICS,STSS 1000,SCI & TECH STUDIES ELECTIVE,5.0
California,Harvey Mudd College,LGCS 010,INTRO TO LINGUISTICS,STSS 1000,SCIENCE & TECHNOLOGY ELECTIVE,3.0
California,Irvine Valley Coll,PS 12H,COMP POL HONORS,STSS 1000,SCI & TECH STUDIES ELECTIVE,3.0
California,Irvine Valley Coll,PS 21,MODEL UNITED NATIONS,STSS 1000,SCI & TECH STUDIES ELECTIVE,3.0
California,Irvine Valley Coll,PS 4,INTRO TO POLI SCI,STSS 1000,SCI & TECH STUDIES ELECTIVE,3.0
California,Marymount College Ca,ANT 110,BIOL ANTHRO AND ARCHAEOLOGY,STSS 1000,SCIENCE & TECHNOLOGY ELECTIVE,3.0
California,Marymount College Ca,ID 117,THE ART OF BEING HUMAN,STSS 1000,SCIENCE & TECHNOLOGY ELECTIVE,3.0
California,Marymount College Ca,REL 130,WORLD RELIGIONS,STSS 1000,SCIENCE & TECHNOLOGY ELECTIVE,3.0
California,Mission College,ANTHR 001,PHYSICAL ANTHROPOLOGY,STSS 1000,SCIENCE & TECHNOLOGY ELECTIVE,3.0
