School Location,School Name,School id(s),School Course(s),RPI Equiv id(s),RPI Equiv Courses(s),RPI Equiv Credits(s)
Arizona,Cochise College,MIO 104,ANALYTICAL PROCESS & PRODUCTS,USAR 1000,CONSORTIA COURSE AT SAGE,1.0
Arizona,Cochise College,MIO 106,MAP READING AND ANALYSIS,USAR 1000,CONSORTIA COURSE AT SAGE,1.0
Arizona,Cochise College,MIO 111,INFO SECURITY FOR INTEL OPS,USAR 1000,CONSORTIA COURSE AT SAGE,1.0
Arizona,Cochise College,MIO 115,BRIEFING SKILLS,USAR 1000,CONSORTIA COURSE AT SAGE,1.0
Arizona,Cochise College,MIO 117,SYMBOLOGY,USAR 1000,CONSORTIA COURSE AT SAGE,1.0
Arizona,Cochise College,MIO 118,INTELLIGENCE PREP OF BATTLEFLD,USAR 1000,CONSORTIA COURSE AT SAGE,1.0
Arizona,Cochise College,MIO 209,AUTOMATED INTELL SYSTEMS,USAR 1000,CONSORTIA COURSE AT SAGE,1.0
New York,St Lawrence Univ,XMST 111,LEADERSHIP & PERSONAL DEVELOP,USAR 1000,CONSORTIA COURSE AT SAGE,1.0
New York,St Lawrence Univ,XMST 112,INTRO TACTICAL LEADERSHIP,USAR 1000,CONSORTIA COURSE AT SAGE,1.0
New York,Syracuse University,HST 295,DEV AIR POWER: 1ST 50 YEARS,USAR 1000,CONSORTIA COURSE AT SAGE,1.0
New York,Syracuse University,HST 296,DEV AIR POWER: 1947-PRESENT,USAR 1000,CONSORTIA COURSE AT SAGE,1.0
