School Location,School Name,School id(s),School Course(s),RPI Equiv id(s),RPI Equiv Courses(s),RPI Equiv Credits(s)
AUSTRALIA,University of Sydney,WRIT 1000,WRITING: STYLE AND METHOD,WRIT 1000,WRITING ELECTIVE,4.0
AUSTRALIA,Victoria University,ACA 1001,INTRODUCTION TO WRITING,WRIT 1000,WRITING ELECTIVE,3.0
Alabama,Troy University,ENG 1101,COMP AND MODERN ENGLISH I,WRIT 1000,WRITING ELECTIVE,3.0
Alabama,Troy University,ENG 1102,COMP AND MODERN ENGLISH II,WRIT 1000,WRITING ELECTIVE,3.0
Alabama,Univ Of Montevallo,ENG 101,COMPOSITION I,WRIT 1000,WRITING ELECTIVE,3.0
Alabama,Univ Of Montevallo,ENG 102,COMPOSITION II,WRIT 1000,WRITING ELECTIVE,3.0
Alaska,Univ. of Alaska Anchorage,ENGL A111,METH OF WRITTEN COMMUNICATION,WRIT 1000,WRITING ELECTIVE,3.0
Alaska,Univ. of Alaska Anchorage,ENGL A212,TECHNICAL WRITING,WRIT 1000,WRITING ELECTIVE,3.0
Arizona,Arizona State Univ,ENG 101,FIRST-YEAR COMPOSITION,WRIT 1000,WRITING ELECTIVE,3.0
Arizona,Arizona State University Tempe,ENG 101,FIRS-YEAR COMPOSITION,WRIT 1000,WRITING ELECTIVE,3.0
Arizona,Arizona State University Tempe,ENG 102,FIRST-YEAR COMPOSITION,WRIT 1000,WRITING ELECTIVE,3.0
Arizona,Arizona State University Tempe,ENG 108,FIRST-YEAR COMPOSITION,WRIT 1000,WRITING ELECTIVE,3.0
Arizona,Glendale C C Az,ENG 101,FIRST-YEAR COMPOSITION,WRIT 1000,WRITING ELECTIVE,3.0
Arizona,Maricopa Comm Coll,ENG 101,FIRST YEAR COMPOSITION,WRIT 1000,WRITING ELECTIVE,3.0
Arizona,Northern Arizona Univ,ENG 105,CRITICAL READ/WRTNG IN UNIV,WRIT 1000,WRITING ELECTIVE,4.0
Arizona,University of Arizona,ENGL 101,FIRST-YEAR COMPOSITION,WRIT 1000,WRITING ELECTIVE,3.0
Arizona,University of Arizona,ENGL 102,FIRST-YEAR COMPOSITION,WRIT 1000,WRITING ELECTIVE,3.0
Arizona,Yavapai College,ENG 101,COLLEGE COMPOSITION I,WRIT 1000,WRITING ELECTIVE,3.0
Arizona,Yavapai College,ENG 102,COLLEGE COMPOSITION II,WRIT 1000,WRITING ELECTIVE,3.0
BANGLADESH,American Int'l Univ.Bangledesh,ENG 1101,ENGLISH 1,WRIT 1000,WRITING ELECTIVE,3.0
BANGLADESH,American Int'l Univ.Bangledesh,ENG 1202,ENGLISH 2,WRIT 1000,WRITING ELECTIVE,3.0
CANADA,Athabasca University,ENGL 255,INTRODUCTORY COMPOSITION,WRIT 1000,WRITING ELECTIVE,3.0
CANADA,Athabasca University,ENGL 255,INTRODUCTORY COMPOSITION,WRIT 1000,WRITING ELECTIVE,3.0
CHINA,Donghua University,WRIT 1,PRACTICAL WRITING,WRIT 1000,WRITING ELECTIVE,2.0
CHINA,Shenyang Normal University,ENGL 7,BASIC ENGLISH WRITING 2,WRIT 1000,WRITING ELECTIVE,1.0
California,American River Coll,ENGWR 102,PROFICIENT WRITING,WRIT 1000,WRITING ELECTIVE,3.0
California,Bakersfield Coll,ENGL 1,INTRODUCTORY COMPOSITION,WRIT 1000,WRITING ELECTIVE,4.0
California,Bakersfield Coll,ENGL 1A,EXPOSITORY COMPOSITION,WRIT 1000,WRITING ELECTIVE,4.0
California,Cabrillo Coll,"ENGL 100L
AND ENGL 100","WRITING LABORATORY
AND ELEMENTS OF WRITING",WRIT 1000,WRITING ELECTIVE,4.0
California,Cabrillo Coll,ENGL 1A,COLLEGE COMPOSITION,WRIT 1000,WRITING ELECTIVE,3.0
California,Cabrillo Coll,ENGL 1AMC,COLLEGE COMPOSITION,WRIT 1000,WRITING ELECTIVE,3.0
California,Cabrillo Coll,ENGL 1B,COMPOSITION/LITERATURE,WRIT 1000,WRITING ELECTIVE,3.0
California,Cabrillo Coll,ENGL 2,COMP & CRIT THINKING,WRIT 1000,WRITING ELECTIVE,3.0
California,Calif St U Long Bch,ENGL 100,COMPOSITION II,WRIT 1000,WRITING ELECTIVE,3.0
California,Calif St U Long Bch,ENGL 102,CRITICAL READING & WRITING,WRIT 1000,WRITING ELECTIVE,3.0
California,Canada Coll,ENGL 100,READING AND COMPOSITION,WRIT 1000,WRITING ELECTIVE,3.0
California,Canada Coll,ENGL 110,COMP: LIT CRITICAL THINKING,WRIT 1000,WRITING ELECTIVE,3.0
California,Cerritos College,ENGL 100,FRESHMAN COMPOSITION,WRIT 1000,WRITING ELECTIVE,4.0
California,City Coll San Frnsco,ENGL 1A,UNIVERSITY READ & COMPOSITION,WRIT 1000,WRITING ELECTIVE,3.0
California,City Coll San Frnsco,ENGL 1B,"READING, WRITING, & CRITICAL",WRIT 1000,WRITING ELECTIVE,3.0
California,City Coll San Frnsco,ENGL 93,INTRO TO ACAD WRTNG & RDNG,WRIT 1000,WRITING ELECTIVE,3.0
California,City Coll San Frnsco,ENGL 96,ACADEMIC WRITING & READING,WRIT 1000,WRITING ELECTIVE,3.0
California,Coll Marin,ENGL 151,READ & COMPOSITION,WRIT 1000,WRITING ELECTIVE,4.0
California,College of San Mateo,ENGL 100,COMPOSITION AND READING,WRIT 1000,WRITING ELECTIVE,3.0
California,College of San Mateo,ENGL 110,"COMPS., LIT & CRIT. THINKING",WRIT 1000,WRITING ELECTIVE,3.0
California,De Anza College,EWRT 001A,COMPOSITION & READING,WRIT 1000,WRITING ELECTIVE,4.0
California,De Anza College,EWRT 002,"CRIT READ, WRIT & THINK",WRIT 1000,WRITING ELECTIVE,4.0
California,Diablo Valley Coll,ENGL 122,FRESHMAN ENGLISH: COMP/READ,WRIT 1000,WRITING ELECTIVE,3.0
California,Diablo Valley Coll,ENGL 123,CRITICAL THINKING: COMP & LIT,WRIT 1000,WRITING ELECTIVE,3.0
California,Diablo Valley Coll,ENGL 126,CRITICAL THINKING: SHAP MEAN,WRIT 1000,WRITING ELECTIVE,3.0
California,East Los Angeles Col,ENGLISH 101,COLLEGE READING & COMP 1,WRIT 1000,WRITING ELECTIVE,3.0
California,East Los Angeles Col,ENGLISH 103,COMM/CRITICAL THINKING,WRIT 1000,WRITING ELECTIVE,3.0
California,Folsom Lake College,ENGWR 300,COLLEGE COMPOSITION,WRIT 1000,WRITING ELECTIVE,3.0
California,Foothill Coll,ENGL 001A,COMP & READING,WRIT 1000,WRITING ELECTIVE,3.0
California,Foothill Coll,ENGL 001B,COMP. CRIT READING/THINKING,WRIT 1000,WRITING ELECTIVE,3.0
California,Fresno City College,ENGL 1A,READ & COMP,WRIT 1000,WRITING ELECTIVE,4.0
California,Fresno City College,ENGL 3,CRITICAL READING & THINKING,WRIT 1000,WRITING ELECTIVE,3.0
California,Glendale Cmty Coll,ENGL 101,FRESHMAN ENGLISH,WRIT 1000,WRITING ELECTIVE,3.0
California,Grossmont Cmty Coll,ENGL 109,COMPOSITION FOR COLLEGE,WRIT 1000,WRITING ELECTIVE,4.0
California,Grossmont Cmty Coll,ENGL 120,COLLEGE COMP AND READING,WRIT 1000,WRITING ELECTIVE,3.0
California,Irvine Valley Coll,WR 1H,COLLEGE WRITING I,WRIT 1000,WRITING ELECTIVE,4.0
California,Los Angeles City Col,ENGLISH 102H,COLELGE RDG & COMP 2,WRIT 1000,WRITING ELECTIVE,3.0
California,Los Angeles Missin C,ENGLISH 101,COLLEGE RDG & COMP 1,WRIT 1000,WRITING ELECTIVE,3.0
California,Los Angeles Valley College,ENGLISH 101,COLLEGE RDG & COMP 1,WRIT 1000,WRITING ELECTIVE,3.0
California,Los Angeles Valley College,ENGLISH 102,COLLEGE RDG & COMP 2,WRIT 1000,WRITING ELECTIVE,3.0
California,Loyola Marymount University,RHET 1000,RA: THINKING SPEAKING WRITING,WRIT 1000,WRITING ELECTIVE,4.0
California,Marymount College Ca,ENG 108,INTRO TO COLLEGE COMPOSITION,WRIT 1000,WRITING ELECTIVE,3.0
California,Marymount College Ca,ENG 112,COLLEGE COMP: EXPOSITORY WRT,WRIT 1000,WRITING ELECTIVE,3.0
California,Marymount College Ca,ENG 114,ANALY REASONING & COMP.,WRIT 1000,WRITING ELECTIVE,3.0
